service,town,Year,value
Community Services,Glastonbury,2009,30
Community Services,Glastonbury,2010,22
Community Services,Glastonbury,2011,33
Community Services,Glastonbury,2012,15
Community Services,Glastonbury,2013,11
Community Services,Hartford,2009,1140
Community Services,Hartford,2010,938
Community Services,Hartford,2011,947
Community Services,Hartford,2012,1026
Community Services,Hartford,2013,588
Community Services,West Hartford,2009,94
Community Services,West Hartford,2010,74
Community Services,West Hartford,2011,89
Community Services,West Hartford,2012,75
Community Services,West Hartford,2013,31
Community Services,Windsor,2009,68
Community Services,Windsor,2010,56
Community Services,Windsor,2011,65
Community Services,Windsor,2012,52
Community Services,Windsor,2013,44
Employment and Training Programs,Bloomfield,2009,67
Employment and Training Programs,Bloomfield,2010,53
Employment and Training Programs,Bloomfield,2011,69
Employment and Training Programs,Bloomfield,2012,101
Employment and Training Programs,Bloomfield,2013,48
Employment and Training Programs,East  Hartford,2009,319
Employment and Training Programs,East  Hartford,2010,285
Employment and Training Programs,East  Hartford,2011,342
Employment and Training Programs,East  Hartford,2012,339
Employment and Training Programs,East  Hartford,2013,153
Employment and Training Programs,East Windsor,2009,24
Employment and Training Programs,East Windsor,2010,22
Employment and Training Programs,East Windsor,2011,28
Employment and Training Programs,East Windsor,2012,27
Employment and Training Programs,East Windsor,2013,7
Employment and Training Programs,Hartford,2009,1691
Employment and Training Programs,Hartford,2010,1547
Employment and Training Programs,Hartford,2011,1493
Employment and Training Programs,Hartford,2012,1647
Employment and Training Programs,Hartford,2013,758
Employment and Training Programs,Manchester,2009,209
Employment and Training Programs,Manchester,2010,184
Employment and Training Programs,Manchester,2011,205
Employment and Training Programs,Manchester,2012,205
Employment and Training Programs,Manchester,2013,89
Employment and Training Programs,Marlborough,2009,4
Employment and Training Programs,Marlborough,2010,4
Employment and Training Programs,Marlborough,2011,5
Employment and Training Programs,Marlborough,2012,4
Employment and Training Programs,Marlborough,2013,2
Employment and Training Programs,Newington,2009,45
Employment and Training Programs,Newington,2010,38
Employment and Training Programs,Newington,2011,48
Employment and Training Programs,Newington,2012,48
Employment and Training Programs,Newington,2013,29
Employment and Training Programs,Rocky Hill,2009,33
Employment and Training Programs,Rocky Hill,2010,26
Employment and Training Programs,Rocky Hill,2011,30
Employment and Training Programs,Rocky Hill,2012,31
Employment and Training Programs,Rocky Hill,2013,12
Employment and Training Programs,Somers,2009,5
Employment and Training Programs,Somers,2010,4
Employment and Training Programs,Somers,2011,7
Employment and Training Programs,Somers,2012,11
Employment and Training Programs,Somers,2013,4
Employment and Training Programs,South Windsor,2009,26
Employment and Training Programs,South Windsor,2010,15
Employment and Training Programs,South Windsor,2011,19
Employment and Training Programs,South Windsor,2012,19
Employment and Training Programs,South Windsor,2013,7
Employment and Training Programs,Vernon,2009,79
Employment and Training Programs,Vernon,2010,72
Employment and Training Programs,Vernon,2011,97
Employment and Training Programs,Vernon,2012,89
Employment and Training Programs,Vernon,2013,39
Employment and Training Programs,West Hartford,2009,125
Employment and Training Programs,West Hartford,2010,74
Employment and Training Programs,West Hartford,2011,101
Employment and Training Programs,West Hartford,2012,112
Employment and Training Programs,West Hartford,2013,36
Employment and Training Programs,Wethersfield,2009,42
Employment and Training Programs,Wethersfield,2010,46
Employment and Training Programs,Wethersfield,2011,37
Employment and Training Programs,Wethersfield,2012,34
Employment and Training Programs,Wethersfield,2013,17
Employment and Training Programs,Windsor,2009,82
Employment and Training Programs,Windsor,2010,75
Employment and Training Programs,Windsor,2011,72
Employment and Training Programs,Windsor,2012,100
Employment and Training Programs,Windsor,2013,39
Employment and Training Programs,Windsor Locks,2009,19
Employment and Training Programs,Windsor Locks,2010,15
Employment and Training Programs,Windsor Locks,2011,17
Employment and Training Programs,Windsor Locks,2012,35
Employment and Training Programs,Windsor Locks,2013,14
Financial Assistance,Andover,2009,15
Financial Assistance,Andover,2010,7
Financial Assistance,Andover,2011,7
Financial Assistance,Andover,2012,18
Financial Assistance,Andover,2013,10
Financial Assistance,Avon,2009,24
Financial Assistance,Avon,2010,28
Financial Assistance,Avon,2011,33
Financial Assistance,Avon,2012,18
Financial Assistance,Avon,2013,12
Financial Assistance,Bloomfield,2009,223
Financial Assistance,Bloomfield,2010,213
Financial Assistance,Bloomfield,2011,280
Financial Assistance,Bloomfield,2012,296
Financial Assistance,Bloomfield,2013,151
Financial Assistance,Bolton,2009,13
Financial Assistance,Bolton,2010,5
Financial Assistance,Bolton,2011,17
Financial Assistance,Bolton,2012,19
Financial Assistance,Bolton,2013,6
Financial Assistance,Canton,2009,13
Financial Assistance,Canton,2010,26
Financial Assistance,Canton,2011,21
Financial Assistance,Canton,2012,18
Financial Assistance,Canton,2013,7
Financial Assistance,East  Hartford,2009,1361
Financial Assistance,East  Hartford,2010,1353
Financial Assistance,East  Hartford,2011,1515
Financial Assistance,East  Hartford,2012,1114
Financial Assistance,East  Hartford,2013,742
Financial Assistance,East Granby,2009,10
Financial Assistance,East Granby,2010,20
Financial Assistance,East Granby,2011,33
Financial Assistance,East Granby,2012,16
Financial Assistance,East Granby,2013,6
Financial Assistance,East Windsor,2009,124
Financial Assistance,East Windsor,2010,130
Financial Assistance,East Windsor,2011,134
Financial Assistance,East Windsor,2012,100
Financial Assistance,East Windsor,2013,61
Financial Assistance,Ellington,2009,57
Financial Assistance,Ellington,2010,56
Financial Assistance,Ellington,2011,80
Financial Assistance,Ellington,2012,63
Financial Assistance,Ellington,2013,29
Financial Assistance,Enfield,2009,368
Financial Assistance,Enfield,2010,398
Financial Assistance,Enfield,2011,419
Financial Assistance,Enfield,2012,390
Financial Assistance,Enfield,2013,210
Financial Assistance,Farmington,2009,63
Financial Assistance,Farmington,2010,59
Financial Assistance,Farmington,2011,79
Financial Assistance,Farmington,2012,57
Financial Assistance,Farmington,2013,50
Financial Assistance,Glastonbury,2009,80
Financial Assistance,Glastonbury,2010,69
Financial Assistance,Glastonbury,2011,60
Financial Assistance,Glastonbury,2012,74
Financial Assistance,Glastonbury,2013,37
Financial Assistance,Granby,2009,13
Financial Assistance,Granby,2010,22
Financial Assistance,Granby,2011,28
Financial Assistance,Granby,2012,13
Financial Assistance,Granby,2013,16
Financial Assistance,Hartford,2009,5885
Financial Assistance,Hartford,2010,6183
Financial Assistance,Hartford,2011,6795
Financial Assistance,Hartford,2012,5504
Financial Assistance,Hartford,2013,4071
Financial Assistance,Hebron,2009,26
Financial Assistance,Hebron,2010,25
Financial Assistance,Hebron,2011,29
Financial Assistance,Hebron,2012,29
Financial Assistance,Hebron,2013,15
Financial Assistance,Manchester,2009,825
Financial Assistance,Manchester,2010,804
Financial Assistance,Manchester,2011,866
Financial Assistance,Manchester,2012,850
Financial Assistance,Manchester,2013,508
Financial Assistance,Marlborough,2009,24
Financial Assistance,Marlborough,2010,13
Financial Assistance,Marlborough,2011,22
Financial Assistance,Marlborough,2012,8
Financial Assistance,Marlborough,2013,9
Financial Assistance,Newington,2009,135
Financial Assistance,Newington,2010,114
Financial Assistance,Newington,2011,127
Financial Assistance,Newington,2012,129
Financial Assistance,Newington,2013,69
Financial Assistance,Rocky Hill,2009,92
Financial Assistance,Rocky Hill,2010,76
Financial Assistance,Rocky Hill,2011,87
Financial Assistance,Rocky Hill,2012,54
Financial Assistance,Rocky Hill,2013,53
Financial Assistance,Simsbury,2009,45
Financial Assistance,Simsbury,2010,46
Financial Assistance,Simsbury,2011,47
Financial Assistance,Simsbury,2012,68
Financial Assistance,Simsbury,2013,39
Financial Assistance,Somers,2009,39
Financial Assistance,Somers,2010,39
Financial Assistance,Somers,2011,37
Financial Assistance,Somers,2012,45
Financial Assistance,Somers,2013,28
Financial Assistance,South Windsor,2009,55
Financial Assistance,South Windsor,2010,50
Financial Assistance,South Windsor,2011,61
Financial Assistance,South Windsor,2012,74
Financial Assistance,South Windsor,2013,41
Financial Assistance,Stafford,2009,69
Financial Assistance,Stafford,2010,93
Financial Assistance,Stafford,2011,98
Financial Assistance,Stafford,2012,68
Financial Assistance,Stafford,2013,46
Financial Assistance,Suffield,2009,37
Financial Assistance,Suffield,2010,50
Financial Assistance,Suffield,2011,41
Financial Assistance,Suffield,2012,50
Financial Assistance,Suffield,2013,22
Financial Assistance,Tolland,2009,32
Financial Assistance,Tolland,2010,13
Financial Assistance,Tolland,2011,33
Financial Assistance,Tolland,2012,17
Financial Assistance,Tolland,2013,14
Financial Assistance,Vernon,2009,407
Financial Assistance,Vernon,2010,381
Financial Assistance,Vernon,2011,493
Financial Assistance,Vernon,2012,396
Financial Assistance,Vernon,2013,236
Financial Assistance,West Hartford,2009,343
Financial Assistance,West Hartford,2010,359
Financial Assistance,West Hartford,2011,447
Financial Assistance,West Hartford,2012,316
Financial Assistance,West Hartford,2013,156
Financial Assistance,Wethersfield,2009,97
Financial Assistance,Wethersfield,2010,138
Financial Assistance,Wethersfield,2011,149
Financial Assistance,Wethersfield,2012,113
Financial Assistance,Wethersfield,2013,77
Financial Assistance,Windsor,2009,302
Financial Assistance,Windsor,2010,228
Financial Assistance,Windsor,2011,293
Financial Assistance,Windsor,2012,267
Financial Assistance,Windsor,2013,160
Financial Assistance,Windsor Locks,2009,114
