District ID,District Name,School ID,School Name,School Year,Number of Students Tested,Standard CMT Score Summary Average Scale Score,Standard CMT Score Summary Percent at above Goal level,Standard CMT Score Summary Percent at above Proficient level
288,Achievement First Hartford Academy Inc.,1,Achievement First Hartford Academy Inc.,2010-11,77,257.1,62.3,93.5
279,Amistad Academy District,51,Amistad Academy,2010-11,76,276.4,77.6,97.4
1,Andover School District,1,Andover Elementary School,2010-11,47,270.2,68.1,100
2,Ansonia School District,3,Mead School,2010-11,97,251.6,49.5,80.4
2,Ansonia School District,8,Prendergast School,2010-11,77,241.5,46.8,77.9
244,Area Cooperative Educational Services,3,Wintergreen Interdistrict  Magnet School,2010-11,71,238.6,47.9,78.9
3,Ashford School District,1,Ashford School,2010-11,32,267.5,71.9,90.6
4,Avon School District,4,Pine Grove School,2010-11,133,277.5,75.2,93.2
4,Avon School District,3,Roaring Brook School,2010-11,126,279.1,81.7,96.8
5,Barkhamsted School District,1,Barkhamsted Elementary School,2010-11,34,270.3,82.4,100
7,Berlin School District,4,Emma Hart Willard School,2010-11,73,269,65.8,93.2
7,Berlin School District,5,Mary E. Griswold School,2010-11,89,277.6,74.2,92.1
7,Berlin School District,1,Richard D. Hubbard School,2010-11,39,284.8,71.8,92.3
8,Bethany School District,1,Bethany Community School,2010-11,71,262.1,66.2,94.4
9,Bethel School District,4,Anna H. Rockwell School,2010-11,99,289.4,88.9,97
9,Bethel School District,1,Frank A. Berry School,2010-11,96,287.3,87.5,99
11,Bloomfield School District,6,Laurel School,2010-11,128,247.4,53.1,82.8
12,Bolton School District,1,Bolton Center School,2010-11,47,270.1,76.6,85.1
13,Bozrah School District,1,Fields Memorial School,2010-11,20,276.5,70,80
14,Branford School District,16,John B. Sliney School,2010-11,68,271.4,73.5,89.7
14,Branford School District,15,Mary R. Tisko School,2010-11,84,293.3,90.5,98.8
14,Branford School District,14,Mary T. Murphy School,2010-11,87,250.1,60.9,87.4
15,Bridgeport School District,1,Barnum School,2010-11,58,202.4,15.5,43.1
15,Bridgeport School District,2,Beardsley School,2010-11,45,214.7,20,48.9
15,Bridgeport School District,3,Black Rock School,2010-11,50,223.3,30,64
15,Bridgeport School District,40,Blackham School,2010-11,91,235.2,42.9,74.7
15,Bridgeport School District,4,Bryant School,2010-11,58,192.9,8.6,34.5
15,Bridgeport School District,14,Cesar Batalla School,2010-11,103,193.7,12.6,40.8
15,Bridgeport School District,21,Classical Studies Academy,2010-11,57,223.2,24.6,64.9
15,Bridgeport School District,5,Columbus School,2010-11,73,216.9,31.5,54.8
15,Bridgeport School District,39,Cross School,2010-11,36,205,22.2,33.3
15,Bridgeport School District,42,Curiale School,2010-11,53,194.4,11.3,35.8
15,Bridgeport School District,41,Dunbar School,2010-11,29,189.7,6.9,37.9
15,Bridgeport School District,7,Edison School,2010-11,43,228.2,30.2,76.7
15,Bridgeport School District,32,Geraldine Johnson School,2010-11,80,216.4,25,57.5
15,Bridgeport School District,11,Hall School,2010-11,50,251.7,54,82
15,Bridgeport School District,12,Hallen School,2010-11,50,215.7,28,58
15,Bridgeport School District,45,High Horizons Magnet School,2010-11,49,251.4,59.2,89.8
15,Bridgeport School District,13,Hooker School,2010-11,47,201,14.9,44.7
15,Bridgeport School District,22,Jettie S. Tisdale School,2010-11,56,215.5,28.6,51.8
15,Bridgeport School District,19,Longfellow School,2010-11,46,202.5,13,50
15,Bridgeport School District,10,Luis Munoz Marin School,2010-11,88,186.6,10.2,33
15,Bridgeport School District,20,Madison School,2010-11,84,233.4,34.5,73.8
15,Bridgeport School District,46,Multicultural Magnet School,2010-11,51,278.5,88.2,96.1
15,Bridgeport School District,17,Park City Magnet School,2010-11,49,214.1,22.4,46.9
15,Bridgeport School District,25,Read School,2010-11,79,220.2,36.7,58.2
15,Bridgeport School District,26,Roosevelt School,2010-11,51,195,19.6,37.3
15,Bridgeport School District,30,Waltersville School,2010-11,63,203.9,17.5,41.3
15,Bridgeport School District,36,Winthrop School,2010-11,72,231,38.9,75
17,Bristol School District,7,Clara T. O Connell School,2010-11,53,209,20.8,47.2
17,Bristol School District,3,Edgewood School,2010-11,57,266.8,68.4,84.2
17,Bristol School District,14,Ellen P. Hubbell School,2010-11,71,253.5,62,77.5
17,Bristol School District,5,Greene-Hills School,2010-11,39,254.6,56.4,89.7
17,Bristol School District,19,Ivy Drive School,2010-11,58,257.5,60.3,79.3
17,Bristol School District,6,John J. Jennings School,2010-11,55,268,65.5,94.5
17,Bristol School District,17,Mountain View School,2010-11,45,275.7,75.6,95.6
17,Bristol School District,11,South Side School,2010-11,89,267.6,65.2,83.1
17,Bristol School District,12,Stafford School,2010-11,61,254.8,55.7,85.2
18,Brookfield School District,4,Huckleberry Hill Elementary School,2010-11,165,271,78.2,92.7
19,Brooklyn School District,1,Brooklyn Elementary School,2010-11,91,259.5,62.6,90.1
21,Canaan School District,1,Lee H. Kellogg School,2010-11,NA,NA,NA,NA
22,Canterbury School District,2,Canterbury Elementary School,2010-11,69,267.9,72.5,95.7
23,Canton School District,2,Cherry Brook Primary School,2010-11,140,265.9,70.7,87.9
241,Capitol Region Education Council,1,East Hartford/Glastonbury Magnet School,2010-11,41,267.8,63.4,87.8
241,Capitol Region Education Council,31,Montessori Magnet School,2010-11,42,258.3,57.1,88.1
241,Capitol Region Education Council,2,University of Hartford Multiple Intelligences Magnet School,2010-11,59,258.2,64.4,91.5
24,Chaplin School District,2,Chaplin Elementary School,2010-11,23,242.1,56.5,82.6
25,Cheshire School District,1,Chapman School,2010-11,46,255.7,65.2,82.6
25,Cheshire School District,6,Doolittle School,2010-11,100,269.7,66,88
25,Cheshire School District,4,Highland School,2010-11,122,281.6,80.3,98.4
25,Cheshire School District,5,Norton School,2010-11,72,270.8,75,95.8
26,Chester School District,1,Chester Elementary School,2010-11,42,283.9,81,97.6
27,Clinton School District,3,Lewin G. Joel Jr. School,2010-11,163,254.6,66.3,85.9
28,Colchester School District,2,Jack Jackter Intermediate School,2010-11,214,255,58.9,85.5
29,Colebrook School District,1,Colebrook Consolidated School,2010-11,NA,NA,NA,NA
30,Columbia School District,1,Horace W. Porter School,2010-11,58,265.6,72.4,87.9
243,Cooperative Educational Services,1,Six-Six Magnet School,2010-11,45,270,66.7,86.7
31,Cornwall School District,1,Cornwall Consolidated School,2010-11,NA,NA,NA,NA
32,Coventry School District,4,George Hersey Robertson School,2010-11,145,267.4,71,90.3
33,Cromwell School District,3,Woodside Intermediate School,2010-11,138,291.3,82.6,94.2
34,Danbury School District,14,Ellsworth Avenue School,2010-11,72,237,45.8,75
34,Danbury School District,11,Great Plain School,2010-11,33,267.5,75.8,87.9
34,Danbury School District,2,Hayestown Avenue School,2010-11,61,261.4,65.6,93.4
34,Danbury School District,13,King Street Primary School,2010-11,97,274.2,71.1,91.8
34,Danbury School District,5,Mill Ridge Primary School,2010-11,92,287.2,81.5,94.6
34,Danbury School District,6,Morris Street School,2010-11,42,242.7,50,85.7
34,Danbury School District,8,Park Avenue School,2010-11,66,268,71.2,92.4
34,Danbury School District,15,Pembroke School,2010-11,52,255.5,51.9,82.7
34,Danbury School District,12,Shelter Rock School,2010-11,62,270.3,74.2,96.8
34,Danbury School District,10,South Street School,2010-11,67,240.2,41.8,77.6
34,Danbury School District,16,Stadley Rough School,2010-11,83,260.6,63.9,90.4
34,Danbury School District,19,Western CT Academy of International Studies,2010-11,60,274,78.3,91.7
35,Darien School District,2,Hindley Elementary School,2010-11,67,290.3,92.5,97
35,Darien School District,7,Holmes Elementary School,2010-11,70,292.6,81.4,97.1
35,Darien School District,13,Ox Ridge Elementary School,2010-11,77,284.9,89.6,98.7
35,Darien School District,5,Royle Elementary School,2010-11,85,274.2,70.6,89.4
35,Darien School District,6,Tokeneke Elementary School,2010-11,61,278.6,80.3,96.7
36,Deep River School District,1,Deep River Elementary School,2010-11,49,276.2,75.5,95.9
37,Derby School District,6,Bradley School,2010-11,41,245.8,41.5,80.5
37,Derby School District,4,Irving School,2010-11,51,226.1,41.2,60.8
40,East Granby School District,1,Allgrove School,2010-11,54,278.7,81.5,94.4
41,East Haddam School District,1,East Haddam Elementary School,2010-11,95,276.9,82.1,91.6
42,East Hampton School District,1,Memorial School,2010-11,144,264,68.8,90.3
43,East Hartford School District,9,Anna E. Norris School,2010-11,40,184.7,7.5,30
43,East Hartford School District,6,Dr. Franklin H. Mayberry School,2010-11,62,227,43.5,67.7
43,East Hartford School District,22,Dr. John A. Langford School,2010-11,47,238.8,51.1,78.7
43,East Hartford School District,10,Dr. Thomas S. O'Connell School,2010-11,54,259.9,61.1,88.9
43,East Hartford School District,20,Governor William Pitkin School,2010-11,69,248.1,47.8,81.2
43,East Hartford School District,5,Hockanum School,2010-11,53,209.9,32.1,54.7
43,East Hartford School District,4,Joseph O. Goodwin School,2010-11,60,237.3,40,80
43,East Hartford School District,18,Robert J. O'Brien School,2010-11,54,217.9,25.9,57.4
43,East Hartford School District,12,Silver Lane School,2010-11,34,215.8,23.5,52.9
44,East Haven School District,17,Carbone School/East Haven Academy,2010-11,48,251.5,56.3,89.6
44,East Haven School District,13,Dominick H. Ferrara School,2010-11,91,215.5,29.7,53.8
44,East Haven School District,10,Grove J. Tuttle School,2010-11,67,216.5,26.9,53.7
44,East Haven School District,7,Momauguin School,2010-11,60,224.4,36.7,63.3
45,East Lyme School District,1,Flanders School,2010-11,70,277.6,75.7,95.7
45,East Lyme School District,4,Lillie B. Haynes School,2010-11,83,274.7,74.7,94
45,East Lyme School District,2,Niantic Center School,2010-11,49,290.6,91.8,100
47,East Windsor School District,1,Broad Brook Elementary School,2010-11,93,247.8,54.8,76.3
39,Eastford School District,1,Eastford Elementary School,2010-11,NA,NA,NA,NA
46,Easton School District,1,Samuel Staples Elementary School,2010-11,110,285,86.4,99.1
48,Ellington School District,1,Center School,2010-11,82,269.4,73.2,91.5
48,Ellington School District,2,Crystal Lake School,2010-11,42,260.1,73.8,92.9
48,Ellington School District,6,Windermere School,2010-11,80,273.1,76.3,95
289,Elm City College Preparatory School,1,Elm City College Preparatory School,2010-11,52,252.9,61.5,86.5
49,Enfield School District,13,Edgar H. Parkman School,2010-11,54,289.4,87,98.1
49,Enfield School District,16,Eli Whitney School,2010-11,46,268.8,63,93.5
49,Enfield School District,2,Enfield Street School,2010-11,49,263.9,69.4,95.9
49,Enfield School District,12,Harriet Beecher Stowe School,2010-11,39,280.8,76.9,92.3
49,Enfield School District,4,Hazardville Memorial School,2010-11,51,283.5,86.3,96.1
49,Enfield School District,18,Henry Barnard School,2010-11,53,278.2,81.1,92.5
49,Enfield School District,11,Nathan Hale School,2010-11,33,279.5,81.8,90.9
49,Enfield School District,15,Prudence Crandall School,2010-11,57,274.9,77.2,96.5
49,Enfield School District,17,Thomas G. Alcorn School,2010-11,43,247.5,51.2,86
50,Essex School District,1,Essex Elementary School,2010-11,73,273.9,74,89
51,Fairfield School District,2,Burr Elementary School,2010-11,55,298.6,87.3,96.4
51,Fairfield School District,1,Dwight Elementary School,2010-11,59,284.4,91.5,93.2
51,Fairfield School District,4,Holland Hill School,2010-11,60,280.8,80,93.3
51,Fairfield School District,17,Jennings School,2010-11,57,295.4,86,91.2
51,Fairfield School District,6,McKinley School,2010-11,60,269.2,75,88.3
51,Fairfield School District,7,Mill Hill School,2010-11,74,291.5,87.8,94.6
51,Fairfield School District,16,North Stratfield School,2010-11,80,295.3,86.3,97.5
51,Fairfield School District,18,Osborn Hill School,2010-11,84,265.9,73.8,91.7
51,Fairfield School District,12,Riverfield School,2010-11,65,269.7,70.8,86.2
51,Fairfield School District,13,Sherman School,2010-11,78,272.6,78.2,96.2
51,Fairfield School District,14,Stratfield School,2010-11,68,290.4,91.2,98.5
52,Farmington School District,4,East Farms School,2010-11,111,298.8,92.8,98.2
52,Farmington School District,2,Noah Wallace School,2010-11,62,285.3,80.6,96.8
52,Farmington School District,1,Union School,2010-11,49,285.1,81.6,93.9
52,Farmington School District,3,West District School,2010-11,62,274.3,69.4,91.9
53,Franklin School District,1,Franklin Elementary School,2010-11,NA,NA,NA,NA
54,Glastonbury School District,2,Buttonball Lane School,2010-11,94,277.9,78.7,95.7
54,Glastonbury School District,3,Eastbury School,2010-11,55,284.1,89.1,98.2
54,Glastonbury School District,4,Hebron Avenue School,2010-11,91,290.5,90.1,95.6
54,Glastonbury School District,6,Hopewell School,2010-11,89,275.6,80.9,96.6
54,Glastonbury School District,7,Naubuc School,2010-11,82,256.1,57.3,81.7
54,Glastonbury School District,9,Nayaug Elementary School,2010-11,101,294.3,89.1,97
56,Granby School District,4,Kelly Lane Intermediate School,2010-11,92,284.4,81.5,98.9
56,Granby School District,3,Wells Road Intermediate School,2010-11,72,257.6,65.3,87.5
57,Greenwich School District,2,Cos Cob School,2010-11,59,271.3,79.7,94.9
57,Greenwich School District,4,Glenville School,2010-11,50,274.3,76,92
57,Greenwich School District,5,Hamilton Avenue School,2010-11,58,254.8,56.9,84.5
57,Greenwich School District,13,International School At Dundee,2010-11,63,282.8,79.4,96.8
57,Greenwich School District,3,Julian Curtiss School,2010-11,52,259.2,63.5,92.3
57,Greenwich School District,6,New Lebanon School,2010-11,38,267.3,78.9,92.1
57,Greenwich School District,7,North Mianus School,2010-11,77,274,71.4,90.9
57,Greenwich School District,8,North Street School,2010-11,65,273.9,86.2,98.5
57,Greenwich School District,9,Old Greenwich School,2010-11,62,280.5,79,96.8
57,Greenwich School District,11,Parkway School,2010-11,58,268.6,70.7,89.7
57,Greenwich School District,10,Riverside School,2010-11,86,302.3,90.7,98.8
58,Griswold School District,3,Griswold Elementary School,2010-11,126,244.1,46.8,81.7
59,Groton School District,20,Catherine Kolnaski Magnet School,2010-11,62,223.7,35.5,61.3
59,Groton School District,18,Charles Barnum School,2010-11,35,281.4,77.1,94.3
59,Groton School District,3,Claude Chester School,2010-11,49,236.9,46.9,79.6
59,Groton School District,17,Mary Morrisson School,2010-11,38,287.5,84.2,94.7
59,Groton School District,19,Northeast Academy Elementary School,2010-11,47,284.2,78.7,93.6
59,Groton School District,12,Pleasant Valley School,2010-11,55,254.7,63.6,85.5
59,Groton School District,1,S. B. Butler School,2010-11,46,267,76.1,91.3
60,Guilford School District,6,A. W. Cox School,2010-11,69,284.2,85.5,95.7
60,Guilford School District,4,Calvin Leete School,2010-11,75,290.1,88,97.3
60,Guilford School District,2,Guilford Lakes School,2010-11,64,291.7,90.6,96.9
60,Guilford School District,3,Melissa Jones School,2010-11,77,278.1,76.6,90.9
62,Hamden School District,12,Bear Path School,2010-11,55,277.4,70.9,90.9
62,Hamden School District,2,Church Street School,2010-11,45,227.8,26.7,68.9
62,Hamden School District,3,Dunbar Hill School,2010-11,41,249.8,58.5,82.9
62,Hamden School District,4,Helen Street School,2010-11,27,261.9,70.4,85.2
62,Hamden School District,11,Ridge Hill School,2010-11,47,234.3,42.6,74.5
62,Hamden School District,1,Shepherd Glen School,2010-11,39,235.7,43.6,74.4
62,Hamden School District,10,Spring Glen School,2010-11,53,268.9,77.4,88.7
62,Hamden School District,14,West Woods School,2010-11,76,270,68.4,88.2
63,Hampton School District,1,Hampton Elementary School,2010-11,20,211.8,15,40
64,Hartford School District,1,Americas Choice at SAND,2010-11,48,219.9,25,64.6
64,Hartford School District,37,Annie Fisher Montessori Magnet School,2010-11,NA,NA,NA,NA
64,Hartford School District,7,Asian Studies School at Dwight/Belizzi School,2010-11,43,231.1,37.2,72.1
64,Hartford School District,4,Batchelder School,2010-11,56,234.8,44.6,69.6
64,Hartford School District,35,Breakthrough II,2010-11,NA,NA,NA,NA
64,Hartford School District,33,Breakthrough Magnet School,2010-11,30,233.7,40,60
64,Hartford School District,6,Burns Latino Studies Academy,2010-11,46,187.2,19.6,32.6
64,Hartford School District,23,Burr School,2010-11,57,224.8,33.3,64.9
64,Hartford School District,24,Clark School,2010-11,30,220.9,30,56.7
64,Hartford School District,28,Dr. Ramon E. Betances Early Reading Lab School,2010-11,48,214.2,20.8,50
64,Hartford School District,9,Hooker School,2010-11,34,262.5,55.9,85.3
64,Hartford School District,36,IB Global Communications Academy,2010-11,53,217.3,30.2,60.4
64,Hartford School District,10,Kennelly School,2010-11,61,227.6,31.1,63.9
64,Hartford School District,11,Kinsella Magnet School,2010-11,74,236.4,39.2,74.3
64,Hartford School District,8,M. D. Fox ComPACT School,2010-11,99,213.2,24.2,52.5
64,Hartford School District,16,M. L. King School,2010-11,51,221.7,29.4,66.7
64,Hartford School District,12,McDonough School,2010-11,34,214.5,14.7,58.8
64,Hartford School District,19,Milner Core Knowledge School,2010-11,33,195.4,15.2,39.4
64,Hartford School District,32,Moylan School,2010-11,44,202.2,13.6,40.9
64,Hartford School District,14,Naylor School,2010-11,66,196.9,12.1,34.8
64,Hartford School District,20,Noah Webster Micro Society School,2010-11,56,242.3,53.6,80.4
64,Hartford School District,15,Parkville Community School,2010-11,64,235.7,43.8,75
64,Hartford School District,30,Sanchez School,2010-11,41,210.4,24.4,58.5
64,Hartford School District,17,Sarah J. Rawson Elementary School,2010-11,71,228.8,40.8,63.4
64,Hartford School District,26,Simpson-Waverly School,2010-11,37,219.8,27,67.6
64,Hartford School District,25,STEM Magnet School at Annie-Fisher School,2010-11,32,256.8,59.4,87.5
64,Hartford School District,21,West Middle School,2010-11,65,218.9,27.7,60
64,Hartford School District,22,Wish School,2010-11,43,206.3,18.6,46.5
65,Hartland School District,1,Hartland School,2010-11,20,277.8,80,90
67,Hebron School District,1,Hebron Elementary School,2010-11,162,275.3,77.8,92.6
286,Highville Charter School District,1,Highville Charter School,2010-11,38,243.4,42.1,86.8
264,Integrated Day Charter School District,1,Integrated Day Charter School,2010-11,32,228.8,46.9,68.8
261,Jumoke Academy District,1,Jumoke Academy,2010-11,42,264,66.7,100
68,Kent School District,1,Kent Center School,2010-11,25,282,96,96
69,Killingly School District,1,Killingly Central School,2010-11,105,253.2,59,83.8
69,Killingly School District,3,Killingly Memorial School,2010-11,79,244.2,53.2,78.5
245,Learn,1,Multicultural Magnet School,2010-11,82,254.5,57.3,85.4
71,Lebanon School District,1,Lebanon Elementary School,2010-11,87,259.4,72.4,90.8
72,Ledyard School District,4,Gallup Hill School,2010-11,37,267.4,64.9,89.2
72,Ledyard School District,3,Juliet W. Long School,2010-11,70,279.6,80,94.3
72,Ledyard School District,1,Ledyard Center School,2010-11,57,271.8,75.4,100
73,Lisbon School District,1,Lisbon Central School,2010-11,34,250.3,61.8,79.4
74,Litchfield School District,2,Center School,2010-11,83,265.8,68.7,96.4
76,Madison School District,2,Island Avenue Elementary School,2010-11,83,280.2,81.9,98.8
76,Madison School District,1,J. Milton Jeffrey Elementary School,2010-11,96,294.8,94.8,99
76,Madison School District,3,Kathleen H. Ryerson Elementary School,2010-11,69,292.8,87,98.6
77,Manchester School District,1,Bowers School,2010-11,67,277.4,77.6,91
77,Manchester School District,3,Buckley School,2010-11,37,272.9,73,94.6
77,Manchester School District,4,Highland Park School,2010-11,40,261.4,65,87.5
77,Manchester School District,6,Keeney School,2010-11,58,264.4,69,84.5
77,Manchester School District,16,Martin School,2010-11,30,264.8,66.7,90
77,Manchester School District,9,Nathan Hale School,2010-11,25,253,64,80
77,Manchester School District,10,Robertson School,2010-11,51,259.6,70.6,84.3
77,Manchester School District,12,Verplanck School,2010-11,31,265.6,71,93.5
77,Manchester School District,13,Waddell School,2010-11,51,247.6,51,78.4
77,Manchester School District,14,Washington School,2010-11,43,240.1,44.2,74.4
78,Mansfield School District,4,Annie E. Vinton School,2010-11,51,282.8,80.4,92.2
78,Mansfield School District,2,Dorothy C. Goodwin School,2010-11,35,297.8,91.4,94.3
78,Mansfield School District,5,Southeast Elementary School,2010-11,43,284.8,86,95.3
79,Marlborough School District,1,Elmer Thienes-Mary Hall Elementary School,2010-11,92,282,78.3,97.8
80,Meriden School District,1,Benjamin Franklin School,2010-11,70,243.8,50,77.1
80,Meriden School District,11,Casimir Pulaski School,2010-11,115,244.1,50.4,80
80,Meriden School District,3,Hanover School,2010-11,93,231.1,45.2,63.4
80,Meriden School District,4,Israel Putnam School,2010-11,82,246.5,53.7,76.8
80,Meriden School District,5,John Barry School,2010-11,66,211,15.2,54.5
80,Meriden School District,7,Nathan Hale School,2010-11,82,258.3,63.4,86.6
80,Meriden School District,8,Roger Sherman School,2010-11,74,240.1,41.9,79.7
80,Meriden School District,10,Thomas Hooker School,2010-11,46,263.9,76.1,91.3
83,Middletown School District,2,Bielefield School,2010-11,60,240.3,45,70
83,Middletown School District,5,Farm Hill School,2010-11,53,263.3,62.3,83
83,Middletown School District,13,Lawrence School,2010-11,55,255.7,63.6,78.2
83,Middletown School District,9,MacDonough School,2010-11,33,261.5,60.6,81.8
83,Middletown School District,12,Moody School,2010-11,46,264.2,65.2,89.1
83,Middletown School District,11,Snow School,2010-11,39,257.8,61.5,82.1
83,Middletown School District,1,Spencer School,2010-11,55,258.5,69.1,87.3
83,Middletown School District,14,Wesley School,2010-11,55,268.2,69.1,94.5
84,Milford School District,1,Calf Pen Meadow School,2010-11,100,264.4,74,93
84,Milford School District,7,Meadowside School,2010-11,132,270,78.8,93.2
84,Milford School District,18,Orchard Hills School,2010-11,119,269.3,76.5,97.5
84,Milford School District,10,Pumpkin Delight School,2010-11,129,259.2,64.3,92.2
85,Monroe School District,5,Fawn Hollow Elementary School,2010-11,84,290.3,85.7,95.2
85,Monroe School District,1,Monroe Elementary School,2010-11,51,296.5,92.2,100
85,Monroe School District,3,Stepney Elementary School,2010-11,89,286.6,87.6,98.9
