"Resident
Town ID",District ID,Resident Town,Sent to District,School Year,School Type,PK,K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Total
13,901,Bozrah,Norwich Free Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,33,29,26,26,114
19,069,Brooklyn,Killingly School District,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,30,8,18,6,62
19,903,Brooklyn,Woodstock Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,53,94,68,68,283
22,058,Canterbury,Griswold School District,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,8,13,5,13,39
22,901,Canterbury,Norwich Free Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,18,18,28,20,84
22,903,Canterbury,Woodstock Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,21,26,16,15,78
30,012,Columbia,Bolton School District,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,19,19,18,13,69
30,071,Columbia,Lebanon School District,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,14,6,18,23,61
30,163,Columbia,Windham School District,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,23,26,19,32,100
39,903,Eastford,Woodstock Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,15,17,21,20,73
53,901,Franklin,Norwich Free Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,27,19,23,22,91
65,056,Hartland,Granby School District,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,20,12,13,17,62
65,902,Hartland,The Gilbert School,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,1,0,3,2,6
73,058,Lisbon,Griswold School District,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,15,8,14,15,52
73,901,Lisbon,Norwich Free Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,45,33,35,43,156
104,072,Norwich,Ledyard School District,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,5,5,5,5,20
104,901,Norwich,Norwich Free Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,403,420,395,338,1556
112,903,Pomfret,Woodstock Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,57,46,53,48,204
114,901,Preston,Norwich Free Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,55,51,55,33,194
127,096,Sherman,New Milford School District,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,38,23,27,34,122
133,901,Sprague,Norwich Free Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,17,19,18,19,73
145,134,Union,Stafford School District,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,3,4,2,3,12
147,058,Voluntown,Griswold School District,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,7,10,13,4,34
147,901,Voluntown,Norwich Free Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,26,13,21,19,79
162,902,Winchester,The Gilbert School,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,79,88,91,61,319
169,903,Woodstock,Woodstock Academy,2010-11,Designated High School,0,0,0,0,0,0,0,0,0,0,90,96,117,132,435
13,901,Bozrah,Norwich Free Academy,2009-10,Designated High School,0,0,0,0,0,0,0,0,0,0,30,31,28,31,120
19,069,Brooklyn,Killingly School District,2009-10,Designated High School,0,0,0,0,0,0,0,0,0,0,11,14,6,17,48
19,903,Brooklyn,Woodstock Academy,2009-10,Designated High School,0,0,0,0,0,0,0,0,0,0,99,76,68,71,314
22,058,Canterbury,Griswold School District,2009-10,Designated High School,0,0,0,0,0,0,0,0,0,0,15,7,14,7,43
22,901,Canterbury,Norwich Free Academy,2009-10,Designated High School,0,0,0,0,0,0,0,0,0,0,16,32,18,29,95
