District ID,School ID,District Name,School Name,School Year,Number Eligible for Free/ Reduced Price Lunch,Total Enrollment,Percent Eligible for Free/ Reduced Lunch
1,1,Andover School District,Andover Elementary School,2004-05,21,383,5.5
1,1,Andover School District,Andover Elementary School,2005-06,14,360,3.9
1,1,Andover School District,Andover Elementary School,2006-07,24,341,7
1,1,Andover School District,Andover Elementary School,2007-08,14,347,4
1,1,Andover School District,Andover Elementary School,2008-09,22,334,6.6
1,1,Andover School District,Andover Elementary School,2009-10,34,336,10.1
1,1,Andover School District,Andover Elementary School,2010-11,39,334,11.7
2,3,Ansonia School District,Mead School,2004-05,290,651,44.5
2,3,Ansonia School District,Mead School,2005-06,294,614,47.9
2,3,Ansonia School District,Mead School,2006-07,289,574,50.3
2,3,Ansonia School District,Mead School,2007-08,287,599,47.9
2,3,Ansonia School District,Mead School,2008-09,356,616,57.8
2,3,Ansonia School District,Mead School,2009-10,407,660,61.7
2,3,Ansonia School District,Mead School,2010-11,431,642,67.1
2,8,Ansonia School District,Prendergast School,2004-05,363,685,53
2,8,Ansonia School District,Prendergast School,2005-06,349,729,47.9
2,8,Ansonia School District,Prendergast School,2006-07,393,798,49.2
2,8,Ansonia School District,Prendergast School,2007-08,390,776,50.3
2,8,Ansonia School District,Prendergast School,2008-09,396,759,52.2
2,8,Ansonia School District,Prendergast School,2009-10,518,811,63.9
2,8,Ansonia School District,Prendergast School,2010-11,504,787,64
2,51,Ansonia School District,Ansonia Middle School,2004-05,345,688,50.1
2,51,Ansonia School District,Ansonia Middle School,2005-06,325,671,48.4
2,51,Ansonia School District,Ansonia Middle School,2006-07,304,619,49.1
2,51,Ansonia School District,Ansonia Middle School,2007-08,309,596,51.8
2,51,Ansonia School District,Ansonia Middle School,2008-09,325,582,55.8
2,51,Ansonia School District,Ansonia Middle School,2009-10,221,477,46.3
2,51,Ansonia School District,Ansonia Middle School,2010-11,219,458,47.8
2,61,Ansonia School District,Ansonia High School,2004-05,255,681,37.4
2,61,Ansonia School District,Ansonia High School,2005-06,275,700,39.3
2,61,Ansonia School District,Ansonia High School,2006-07,314,735,42.7
2,61,Ansonia School District,Ansonia High School,2007-08,324,759,42.7
2,61,Ansonia School District,Ansonia High School,2008-09,378,717,52.7
2,61,Ansonia School District,Ansonia High School,2009-10,444,777,57.1
2,61,Ansonia School District,Ansonia High School,2010-11,427,732,58.3
3,1,Ashford School District,Ashford School,2004-05,89,577,15.4
3,1,Ashford School District,Ashford School,2005-06,84,556,15.1
3,1,Ashford School District,Ashford School,2006-07,82,524,15.6
3,1,Ashford School District,Ashford School,2007-08,71,500,14.2
3,1,Ashford School District,Ashford School,2008-09,92,485,19
3,1,Ashford School District,Ashford School,2009-10,104,475,21.9
3,1,Ashford School District,Ashford School,2010-11,109,476,22.9
4,3,Avon School District,Roaring Brook School,2004-05,6,691,0.9
4,3,Avon School District,Roaring Brook School,2005-06,8,757,1.1
4,3,Avon School District,Roaring Brook School,2006-07,13,757,1.7
4,3,Avon School District,Roaring Brook School,2007-08,19,776,2.4
4,3,Avon School District,Roaring Brook School,2008-09,18,750,2.4
4,3,Avon School District,Roaring Brook School,2009-10,19,682,2.8
4,3,Avon School District,Roaring Brook School,2010-11,29,651,4.5
4,4,Avon School District,Pine Grove School,2004-05,21,598,3.5
4,4,Avon School District,Pine Grove School,2005-06,16,602,2.7
4,4,Avon School District,Pine Grove School,2006-07,24,599,4
4,4,Avon School District,Pine Grove School,2007-08,25,616,4.1
4,4,Avon School District,Pine Grove School,2008-09,28,610,4.6
4,4,Avon School District,Pine Grove School,2009-10,40,656,6.1
4,4,Avon School District,Pine Grove School,2010-11,42,628,6.7
4,5,Avon School District,Thompson Brook School,2004-05,5,553,0.9
4,5,Avon School District,Thompson Brook School,2005-06,5,563,0.9
4,5,Avon School District,Thompson Brook School,2006-07,9,581,1.5
4,5,Avon School District,Thompson Brook School,2007-08,25,590,4.2
4,5,Avon School District,Thompson Brook School,2008-09,24,557,4.3
4,5,Avon School District,Thompson Brook School,2009-10,29,568,5.1
4,5,Avon School District,Thompson Brook School,2010-11,32,594,5.4
4,51,Avon School District,Avon Middle School,2004-05,15,570,2.6
4,51,Avon School District,Avon Middle School,2005-06,11,561,2
4,51,Avon School District,Avon Middle School,2006-07,16,580,2.8
4,51,Avon School District,Avon Middle School,2007-08,10,582,1.7
4,51,Avon School District,Avon Middle School,2008-09,14,589,2.4
4,51,Avon School District,Avon Middle School,2009-10,25,601,4.2
4,51,Avon School District,Avon Middle School,2010-11,32,584,5.5
4,61,Avon School District,Avon High School,2004-05,14,898,1.6
4,61,Avon School District,Avon High School,2005-06,14,896,1.6
4,61,Avon School District,Avon High School,2006-07,20,989,2
4,61,Avon School District,Avon High School,2007-08,19,1036,1.8
4,61,Avon School District,Avon High School,2008-09,29,1052,2.8
4,61,Avon School District,Avon High School,2009-10,36,1079,3.3
4,61,Avon School District,Avon High School,2010-11,55,1088,5.1
5,1,Barkhamsted School District,Barkhamsted Elementary School,2004-05,18,339,5.3
5,1,Barkhamsted School District,Barkhamsted Elementary School,2005-06,18,340,5.3
5,1,Barkhamsted School District,Barkhamsted Elementary School,2006-07,19,336,5.7
5,1,Barkhamsted School District,Barkhamsted Elementary School,2007-08,17,328,5.2
5,1,Barkhamsted School District,Barkhamsted Elementary School,2008-09,25,341,7.3
5,1,Barkhamsted School District,Barkhamsted Elementary School,2009-10,17,345,4.9
5,1,Barkhamsted School District,Barkhamsted Elementary School,2010-11,24,343,7
7,1,Berlin School District,Richard D. Hubbard School,2004-05,12,290,4.1
7,1,Berlin School District,Richard D. Hubbard School,2005-06,12,282,4.3
7,1,Berlin School District,Richard D. Hubbard School,2006-07,13,270,4.8
7,1,Berlin School District,Richard D. Hubbard School,2007-08,9,263,3.4
7,1,Berlin School District,Richard D. Hubbard School,2008-09,12,264,4.5
7,1,Berlin School District,Richard D. Hubbard School,2009-10,17,252,6.7
7,1,Berlin School District,Richard D. Hubbard School,2010-11,21,262,8
7,4,Berlin School District,Emma Hart Willard School,2004-05,50,616,8.1
7,4,Berlin School District,Emma Hart Willard School,2005-06,29,614,4.7
7,4,Berlin School District,Emma Hart Willard School,2006-07,47,588,8
7,4,Berlin School District,Emma Hart Willard School,2007-08,42,577,7.3
7,4,Berlin School District,Emma Hart Willard School,2008-09,59,601,9.8
7,4,Berlin School District,Emma Hart Willard School,2009-10,46,588,7.8
7,4,Berlin School District,Emma Hart Willard School,2010-11,54,533,10.1
7,5,Berlin School District,Mary E. Griswold School,2004-05,25,607,4.1
7,5,Berlin School District,Mary E. Griswold School,2005-06,33,592,5.6
7,5,Berlin School District,Mary E. Griswold School,2006-07,25,604,4.1
7,5,Berlin School District,Mary E. Griswold School,2007-08,33,589,5.6
7,5,Berlin School District,Mary E. Griswold School,2008-09,28,584,4.8
7,5,Berlin School District,Mary E. Griswold School,2009-10,32,564,5.7
7,5,Berlin School District,Mary E. Griswold School,2010-11,44,585,7.5
7,51,Berlin School District,Catherine M. McGee Middle School,2004-05,59,736,8
7,51,Berlin School District,Catherine M. McGee Middle School,2005-06,40,751,5.3
7,51,Berlin School District,Catherine M. McGee Middle School,2006-07,48,767,6.3
7,51,Berlin School District,Catherine M. McGee Middle School,2007-08,60,777,7.7
7,51,Berlin School District,Catherine M. McGee Middle School,2008-09,60,742,8.1
7,51,Berlin School District,Catherine M. McGee Middle School,2009-10,44,733,6
7,51,Berlin School District,Catherine M. McGee Middle School,2010-11,67,719,9.3
7,61,Berlin School District,Berlin High School,2004-05,45,1103,4.1
7,61,Berlin School District,Berlin High School,2005-06,35,1104,3.2
7,61,Berlin School District,Berlin High School,2006-07,57,1045,5.5
7,61,Berlin School District,Berlin High School,2007-08,57,1061,5.4
7,61,Berlin School District,Berlin High School,2008-09,67,1027,6.5
7,61,Berlin School District,Berlin High School,2009-10,60,1022,5.9
7,61,Berlin School District,Berlin High School,2010-11,88,1017,8.7
8,1,Bethany School District,Bethany Community School,2004-05,19,583,3.3
8,1,Bethany School District,Bethany Community School,2005-06,12,557,2.2
8,1,Bethany School District,Bethany Community School,2006-07,11,557,2
8,1,Bethany School District,Bethany Community School,2007-08,16,569,2.8
8,1,Bethany School District,Bethany Community School,2008-09,15,549,2.7
8,1,Bethany School District,Bethany Community School,2009-10,20,515,3.9
8,1,Bethany School District,Bethany Community School,2010-11,23,511,4.5
9,1,Bethel School District,Frank A. Berry School,2004-05,17,517,3.3
9,1,Bethel School District,Frank A. Berry School,2005-06,19,505,3.8
9,1,Bethel School District,Frank A. Berry School,2006-07,17,498,3.4
9,1,Bethel School District,Frank A. Berry School,2007-08,28,486,5.8
9,1,Bethel School District,Frank A. Berry School,2008-09,32,480,6.7
9,1,Bethel School District,Frank A. Berry School,2009-10,53,497,10.7
9,1,Bethel School District,Frank A. Berry School,2010-11,41,460,8.9
9,4,Bethel School District,Anna H. Rockwell School,2004-05,21,446,4.7
9,4,Bethel School District,Anna H. Rockwell School,2005-06,32,424,7.5
9,4,Bethel School District,Anna H. Rockwell School,2006-07,37,440,8.4
9,4,Bethel School District,Anna H. Rockwell School,2007-08,34,425,8
9,4,Bethel School District,Anna H. Rockwell School,2008-09,43,423,10.2
