Country,CountryCode,Indicator Name,Indicator Code,2007,2008,2009,2010,2011,2012,2006
Afghanistan,AFG,GINI index,SI.POV.GINI,,27.82,,,,,
Albania,ALB,GINI index,SI.POV.GINI,,34.51,,,,,
Algeria,DZA,GINI index,SI.POV.GINI,,,,,,,
Angola,AGO,GINI index,SI.POV.GINI,,,42.66,,,,
Argentina,ARG,GINI index,SI.POV.GINI,47.37,46.26,46.13,44.49,,,47.72
Armenia,ARM,GINI index,SI.POV.GINI,30.23,30.86,,31.3,,,32.84
Australia,AUS,GINI index,SI.POV.GINI,,,,,,,
Austria,AUT,GINI index,SI.POV.GINI,,,,,,,
Azerbaijan,AZE,GINI index,SI.POV.GINI,,33.71,,,,,
"Bahamas, The",BHS,GINI index,SI.POV.GINI,,,,,,,
Bangladesh,BGD,GINI index,SI.POV.GINI,,,,32.12,,,
Belarus,BLR,GINI index,SI.POV.GINI,28.74,27.22,27.67,27.7,26.48,,28.63
Belgium,BEL,GINI index,SI.POV.GINI,,,,,,,
Belize,BLZ,GINI index,SI.POV.GINI,,,,,,,
Benin,BEN,GINI index,SI.POV.GINI,,,,,,,
Bhutan,BTN,GINI index,SI.POV.GINI,38.06,,,,,,
Bolivia,BOL,GINI index,SI.POV.GINI,57.44,56.29,,,,,56.38
Bosnia and Herzegovina,BIH,GINI index,SI.POV.GINI,36.21,,,,,,
Botswana,BWA,GINI index,SI.POV.GINI,,,,,,,
Brazil,BRA,GINI index,SI.POV.GINI,55.89,55.07,54.69,,,,56.77
Bulgaria,BGR,GINI index,SI.POV.GINI,28.19,,,,,,
Burkina Faso,BFA,GINI index,SI.POV.GINI,,,39.79,,,,
Burundi,BDI,GINI index,SI.POV.GINI,,,,,,,33.27
Cambodia,KHM,GINI index,SI.POV.GINI,44.37,37.85,36.03,,,,
Cameroon,CMR,GINI index,SI.POV.GINI,38.91,,,,,,
Canada,CAN,GINI index,SI.POV.GINI,,,,,,,
Cape Verde,CPV,GINI index,SI.POV.GINI,,,,,,,
Central African Republic,CAF,GINI index,SI.POV.GINI,,56.3,,,,,
Chad,TCD,GINI index,SI.POV.GINI,,,,,,,
Chile,CHL,GINI index,SI.POV.GINI,,,52.06,,,,51.84
China,CHN,GINI index,SI.POV.GINI,,42.63,42.06,,,,
Colombia,COL,GINI index,SI.POV.GINI,58.88,57.23,56.67,55.91,,,58.66
Comoros,COM,GINI index,SI.POV.GINI,,,,,,,
"Congo, Dem. Rep.",ZAR,GINI index,SI.POV.GINI,,,,,,,44.43
"Congo, Rep.",COG,GINI index,SI.POV.GINI,,,,,,,
Costa Rica,CRI,GINI index,SI.POV.GINI,49.25,48.87,50.73,,,,49.14
Cote d'Ivoire,CIV,GINI index,SI.POV.GINI,,41.5,,,,,
Croatia,HRV,GINI index,SI.POV.GINI,,33.65,,,,,
Czech Republic,CZE,GINI index,SI.POV.GINI,,,,,,,
Denmark,DNK,GINI index,SI.POV.GINI,,,,,,,
Djibouti,DJI,GINI index,SI.POV.GINI,,,,,,,
Dominican Republic,DOM,GINI index,SI.POV.GINI,48.69,49,48.86,47.2,,,51.9
East Asia & Pacific (developing only),EAP,GINI index,SI.POV.GINI,,,,,,,
Ecuador,ECU,GINI index,SI.POV.GINI,54.31,50.62,49.43,49.26,,,53.2
"Egypt, Arab Rep.",EGY,GINI index,SI.POV.GINI,,30.77,,,,,
El Salvador,SLV,GINI index,SI.POV.GINI,46.97,46.75,48.33,,,,46.19
Equatorial Guinea,GNQ,GINI index,SI.POV.GINI,,,,,,,
Eritrea,ERI,GINI index,SI.POV.GINI,,,,,,,
Estonia,EST,GINI index,SI.POV.GINI,,,,,,,
Ethiopia,ETH,GINI index,SI.POV.GINI,,,,,33.6,,
Europe & Central Asia (developing only),ECA,GINI index,SI.POV.GINI,,,,,,,
Fiji,FJI,GINI index,SI.POV.GINI,,,42.83,,,,
Finland,FIN,GINI index,SI.POV.GINI,,,,,,,
France,FRA,GINI index,SI.POV.GINI,,,,,,,
Gabon,GAB,GINI index,SI.POV.GINI,,,,,,,
"Gambia, The",GMB,GINI index,SI.POV.GINI,,,,,,,
Georgia,GEO,GINI index,SI.POV.GINI,39.37,41.34,41.73,42.1,,,41.11
Germany,DEU,GINI index,SI.POV.GINI,,,,,,,
Ghana,GHA,GINI index,SI.POV.GINI,,,,,,,42.76
Greece,GRC,GINI index,SI.POV.GINI,,,,,,,
Guatemala,GTM,GINI index,SI.POV.GINI,,,,,,,55.89
Guinea,GIN,GINI index,SI.POV.GINI,39.35,,,,,,
Guinea-Bissau,GNB,GINI index,SI.POV.GINI,,,,,,,
Guyana,GUY,GINI index,SI.POV.GINI,,,,,,,
Haiti,HTI,GINI index,SI.POV.GINI,,,,,,,
Honduras,HND,GINI index,SI.POV.GINI,56.16,61.33,56.95,,,,57.56
"Hong Kong SAR, China",HKG,GINI index,SI.POV.GINI,,,,,,,
Hungary,HUN,GINI index,SI.POV.GINI,31.18,,,,,,
India,IND,GINI index,SI.POV.GINI,,,,33.9,,,
Indonesia,IDN,GINI index,SI.POV.GINI,,34.11,,35.57,38.14075554,,
"Iran, Islamic Rep.",IRN,GINI index,SI.POV.GINI,,,,,,,
Iraq,IRQ,GINI index,SI.POV.GINI,30.86,,,,,,
Ireland,IRL,GINI index,SI.POV.GINI,,,,,,,
Israel,ISR,GINI index,SI.POV.GINI,,,,,,,
Italy,ITA,GINI index,SI.POV.GINI,,,,,,,
Jamaica,JAM,GINI index,SI.POV.GINI,,,,,,,
Japan,JPN,GINI index,SI.POV.GINI,,,,,,,
Jordan,JOR,GINI index,SI.POV.GINI,,33.82,,35.43,,,37.72
Kazakhstan,KAZ,GINI index,SI.POV.GINI,30.88,29.33,29.04,,,,30.76
Kenya,KEN,GINI index,SI.POV.GINI,,,,,,,
"Korea, Rep.",KOR,GINI index,SI.POV.GINI,,,,,,,
Kosovo,KSV,GINI index,SI.POV.GINI,,,,,,,
Kyrgyz Republic,KGZ,GINI index,SI.POV.GINI,33.43,37.29,36.19,36.51,33.38,,38.69
Lao PDR,LAO,GINI index,SI.POV.GINI,,36.74,,,,,
Latin America & Caribbean (developing only),LAC,GINI index,SI.POV.GINI,,,,,,,
Latvia,LVA,GINI index,SI.POV.GINI,36.27,36.61,34.81,,,,
Lesotho,LSO,GINI index,SI.POV.GINI,,,,,,,
Liberia,LBR,GINI index,SI.POV.GINI,38.16,,,,,,
Lithuania,LTU,GINI index,SI.POV.GINI,,37.57,,,,,
Low & middle income,LMY,GINI index,SI.POV.GINI,,,,,,,
Low income,LIC,GINI index,SI.POV.GINI,,,,,,,
Lower middle income,LMC,GINI index,SI.POV.GINI,,,,,,,
Luxembourg,LUX,GINI index,SI.POV.GINI,,,,,,,
"Macedonia, FYR",MKD,GINI index,SI.POV.GINI,,44.2,43.17,43.56,,,42.78
Madagascar,MDG,GINI index,SI.POV.GINI,,,,44.11,,,
Malawi,MWI,GINI index,SI.POV.GINI,,,,43.91,,,
