District ID,District Name,School ID,School Name,School Year,Number of Students Tested,Standard CMT Score Summary Average Scale Score,Standard CMT Score Summary Percent at above Goal level,Standard CMT Score Summary Percent at above Proficient level
288,Achievement First Hartford Academy Inc.,1,Achievement First Hartford Academy Inc.,2010-11,85,257,63.5,83.5
279,Amistad Academy District,51,Amistad Academy,2010-11,80,259.3,70,92.5
1,Andover School District,1,Andover Elementary School,2010-11,47,280.4,76.6,95.7
2,Ansonia School District,3,Mead School,2010-11,85,276.2,74.1,92.9
2,Ansonia School District,8,Prendergast School,2010-11,107,258.8,65.4,89.7
244,Area Cooperative Educational Services,51,Thomas Edison Magnet Middle School,2010-11,242,244.4,48.8,76
244,Area Cooperative Educational Services,3,Wintergreen Interdistrict  Magnet School,2010-11,71,268.3,74.6,90.1
3,Ashford School District,1,Ashford School,2010-11,49,270.3,75.5,91.8
4,Avon School District,5,Thompson Brook School,2010-11,273,297.3,93,98.9
5,Barkhamsted School District,1,Barkhamsted Elementary School,2010-11,51,295.2,90.2,100
7,Berlin School District,51,Catherine M. McGee Middle School,2010-11,229,272.6,80.3,95.2
8,Bethany School District,1,Bethany Community School,2010-11,79,284.9,84.8,97.5
9,Bethel School District,51,Bethel Middle School,2010-11,217,291.3,92.6,97.7
11,Bloomfield School District,7,Carmen Arace Intermediate School,2010-11,144,264.3,67.4,90.3
12,Bolton School District,1,Bolton Center School,2010-11,57,288.5,96.5,100
13,Bozrah School District,1,Fields Memorial School,2010-11,29,271.2,65.5,100
14,Branford School District,51,Francis Walsh Intermediate School,2010-11,264,270.8,75,94.3
285,Bridgeport Achievement First,1,Achievement First Bridgeport Academy,2010-11,70,255.9,67.1,87.1
15,Bridgeport School District,1,Barnum School,2010-11,59,228.8,32.2,69.5
15,Bridgeport School District,2,Beardsley School,2010-11,36,242.8,55.6,80.6
15,Bridgeport School District,3,Black Rock School,2010-11,21,266.6,76.2,95.2
15,Bridgeport School District,40,Blackham School,2010-11,99,230.4,40.4,64.6
15,Bridgeport School District,4,Bryant School,2010-11,25,212.2,12,48
15,Bridgeport School District,14,Cesar Batalla School,2010-11,111,216.8,25.2,53.2
15,Bridgeport School District,21,Classical Studies Academy,2010-11,33,243.3,48.5,75.8
15,Bridgeport School District,5,Columbus School,2010-11,51,242.1,51,74.5
15,Bridgeport School District,39,Cross School,2010-11,20,263.6,75,95
15,Bridgeport School District,42,Curiale School,2010-11,46,236,37,65.2
15,Bridgeport School District,41,Dunbar School,2010-11,28,204.1,10.7,32.1
15,Bridgeport School District,7,Edison School,2010-11,21,246.1,52.4,81
15,Bridgeport School District,32,Geraldine Johnson School,2010-11,68,234.8,45.6,72.1
15,Bridgeport School District,11,Hall School,2010-11,38,248.4,52.6,73.7
15,Bridgeport School District,12,Hallen School,2010-11,42,236.2,40.5,73.8
15,Bridgeport School District,45,High Horizons Magnet School,2010-11,41,273.4,80.5,100
15,Bridgeport School District,13,Hooker School,2010-11,38,230.5,36.8,68.4
15,Bridgeport School District,22,Jettie S. Tisdale School,2010-11,48,235.3,37.5,70.8
15,Bridgeport School District,19,Longfellow School,2010-11,26,227.8,42.3,61.5
15,Bridgeport School District,10,Luis Munoz Marin School,2010-11,62,210.6,21,46.8
15,Bridgeport School District,20,Madison School,2010-11,53,252.5,66,84.9
15,Bridgeport School District,46,Multicultural Magnet School,2010-11,50,274.5,84,98
15,Bridgeport School District,17,Park City Magnet School,2010-11,50,270.7,80,100
15,Bridgeport School District,25,Read School,2010-11,75,221.9,21.3,61.3
15,Bridgeport School District,26,Roosevelt School,2010-11,32,225.3,37.5,53.1
15,Bridgeport School District,30,Waltersville School,2010-11,50,261.2,70,90
15,Bridgeport School District,36,Winthrop School,2010-11,72,258.2,62.5,88.9
17,Bristol School District,51,Chippens Hill Middle School,2010-11,273,264,70.7,90.8
17,Bristol School District,53,Memorial Boulevard Middle School,2010-11,163,263,71.2,82.8
17,Bristol School District,52,Northeast Middle School,2010-11,176,263.4,69.9,90.3
18,Brookfield School District,53,Whisconier Middle School,2010-11,233,285.3,86.3,99.1
19,Brooklyn School District,51,Brooklyn Middle School,2010-11,98,257.3,67.3,85.7
21,Canaan School District,1,Lee H. Kellogg School,2010-11,,,,
22,Canterbury School District,51,Dr. Helen Baldwin Middle School,2010-11,54,264,75.9,98.1
23,Canton School District,3,Canton Intermediate School,2010-11,129,288.9,88.4,98.4
241,Capitol Region Education Council,52,CREC - Public Safety Academy Interdistrict Magnet School,2010-11,45,239.8,44.4,80
241,Capitol Region Education Council,65,CREC Medical Professions and Teacher Preparation Academy,2010-11,29,239.4,48.3,82.8
241,Capitol Region Education Council,61,Metropolitan Learning Center,2010-11,112,260.5,61.6,90.2
241,Capitol Region Education Council,31,Montessori Magnet School,2010-11,,,,
241,Capitol Region Education Council,50,Two Rivers Middle Magnet School,2010-11,216,269.1,72.2,93.1
24,Chaplin School District,2,Chaplin Elementary School,2010-11,33,254.5,60.6,93.9
25,Cheshire School District,1,Chapman School,2010-11,57,290.8,89.5,98.2
25,Cheshire School District,6,Doolittle School,2010-11,82,289.6,92.7,98.8
25,Cheshire School District,4,Highland School,2010-11,146,304.1,93.8,99.3
25,Cheshire School District,5,Norton School,2010-11,89,299.1,89.9,100
26,Chester School District,1,Chester Elementary School,2010-11,38,284.4,94.7,100
27,Clinton School District,51,Jared Eliot School,2010-11,143,259.6,62.2,91.6
28,Colchester School District,51,William J. Johnston Middle School,2010-11,219,275.5,79.5,94.5
29,Colebrook School District,1,Colebrook Consolidated School,2010-11,,,,
30,Columbia School District,1,Horace W. Porter School,2010-11,61,280.6,86.9,98.4
243,Cooperative Educational Services,1,Six-Six Magnet School,2010-11,36,262.2,63.9,86.1
31,Cornwall School District,1,Cornwall Consolidated School,2010-11,,,,
32,Coventry School District,51,Capt. Nathan Hale School,2010-11,153,296.5,91.5,98.7
33,Cromwell School District,51,Cromwell Middle School,2010-11,165,269.8,75.2,88.5
34,Danbury School District,51,Broadview Middle School,2010-11,327,263,67.9,86.9
34,Danbury School District,52,Rogers Park Middle School,2010-11,354,259.3,63.8,82.5
35,Darien School District,51,Middlesex Middle School,2010-11,370,299.6,94.3,98.9
36,Deep River School District,1,Deep River Elementary School,2010-11,44,287.4,84.1,97.7
37,Derby School District,50,Derby Middle School,2010-11,96,246.3,53.1,80.2
40,East Granby School District,51,East Granby Middle School,2010-11,60,282.8,81.7,93.3
41,East Haddam School District,51,Nathan Hale-Ray Middle School,2010-11,102,271.1,74.5,94.1
42,East Hampton School District,51,East Hampton Middle School,2010-11,159,280.3,86.2,96.2
43,East Hartford School District,9,Anna E. Norris School,2010-11,27,221,25.9,63
43,East Hartford School District,6,Dr. Franklin H. Mayberry School,2010-11,30,227.1,36.7,56.7
43,East Hartford School District,22,Dr. John A. Langford School,2010-11,34,243,50,79.4
43,East Hartford School District,10,Dr. Thomas S. O'Connell School,2010-11,,,,
43,East Hartford School District,51,East Hartford Middle School,2010-11,91,241.6,38.5,75.8
43,East Hartford School District,20,Governor William Pitkin School,2010-11,,,,
43,East Hartford School District,5,Hockanum School,2010-11,24,219.6,33.3,50
43,East Hartford School District,4,Joseph O. Goodwin School,2010-11,25,237.3,44,72
43,East Hartford School District,18,Robert J. O'Brien School,2010-11,33,227.5,30.3,72.7
43,East Hartford School District,12,Silver Lane School,2010-11,23,234.2,43.5,73.9
43,East Hartford School District,24,Sunset Ridge School Elementary Academy for Arts and World Languages,2010-11,105,247.8,56.2,80
44,East Haven School District,17,Carbone School/East Haven Academy,2010-11,49,280.8,87.8,100
44,East Haven School District,51,Joseph Melillo Middle School,2010-11,205,242,51.7,78
45,East Lyme School District,51,East Lyme Middle School,2010-11,206,295,91.3,99
47,East Windsor School District,54,East Windsor Middle School,2010-11,88,260.2,67,90.9
39,Eastford School District,1,Eastford Elementary School,2010-11,22,287.1,77.3,95.5
46,Easton School District,51,Helen Keller Middle School,2010-11,135,290.4,91.9,99.3
48,Ellington School District,7,Windermere Intermediate School,2010-11,223,287.4,89.2,98.7
289,Elm City College Preparatory School,1,Elm City College Preparatory School,2010-11,52,259.8,73.1,86.5
49,Enfield School District,13,Edgar H. Parkman School,2010-11,40,294.8,97.5,97.5
49,Enfield School District,16,Eli Whitney School,2010-11,41,266,73.2,97.6
49,Enfield School District,2,Enfield Street School,2010-11,33,268.5,75.8,97
49,Enfield School District,12,Harriet Beecher Stowe School,2010-11,34,283.2,94.1,97.1
49,Enfield School District,4,Hazardville Memorial School,2010-11,53,288.5,90.6,98.1
49,Enfield School District,18,Henry Barnard School,2010-11,44,259.3,75,93.2
49,Enfield School District,11,Nathan Hale School,2010-11,31,277.1,90.3,96.8
49,Enfield School District,15,Prudence Crandall School,2010-11,59,268,74.6,100
49,Enfield School District,17,Thomas G. Alcorn School,2010-11,21,258.9,57.1,95.2
50,Essex School District,1,Essex Elementary School,2010-11,84,277.2,79.8,96.4
