city,county,state,period,medianfamilyincome,poppovertyrate,population
Andover,Tolland,CT,2000,75000,2.5,3036
Avon,Hartford,CT,2000,109161,1.7,15832
Bloomfield,Hartford,CT,2000,64892,7.6,19587
Bolton,Tolland,CT,2000,78933,2.6,5017
Canton,Hartford,CT,2000,80533,2.7,8840
East Granby,Hartford,CT,2000,77621,1.5,4745
East Hartford,Hartford,CT,2000,50540,10.3,49575
East Windsor,Hartford,CT,2000,60694,4.1,9818
Ellington,Tolland,CT,2000,77813,3.6,12921
Enfield,Hartford,CT,2000,60528,4,45212
Farmington,Hartford,CT,2000,85396,4.5,23641
Glastonbury,Hartford,CT,2000,94978,2.1,31876
Granby,Hartford,CT,2000,90057,3.1,10347
Hartford,Hartford,CT,2000,27051,30.6,121578
Hebron,Tolland,CT,2000,80623,1.4,8610
Manchester,Hartford,CT,2000,58769,8,54740
Marlborough,Hartford,CT,2000,90346,2.2,5709
Newington,Hartford,CT,2000,67085,3.5,29306
Rocky Hill,Hartford,CT,2000,72726,2.9,17966
Simsbury,Hartford,CT,2000,97008,2.2,23234
Somers,Tolland,CT,2000,71757,4.6,10417
South Windsor,Hartford,CT,2000,82807,1.8,24412
Suffield,Hartford,CT,2000,79189,3.6,13552
Tolland,Tolland,CT,2000,82990,2.2,13146
Vernon,Tolland,CT,2000,59599,5.9,28063
West Hartford,Hartford,CT,2000,77865,4.5,63589
Wethersfield,Hartford,CT,2000,68154,4.4,26271
Windsor,Hartford,CT,2000,73064,3.7,28237
Windsor Locks,Hartford,CT,2000,59054,4.4,12043
Andover,Tolland,CT,1990,52782,2.2,2540
Avon,Hartford,CT,1990,79278,1.5,13937
Bloomfield,Hartford,CT,1990,56541,4.1,19483
Bolton,Tolland,CT,1990,57077,1.7,4575
Canton,Hartford,CT,1990,60562,3.9,8268
East Granby,Hartford,CT,1990,59068,1.7,4302
East Hartford,Hartford,CT,1990,42853,5.4,50452
East Windsor,Hartford,CT,1990,47255,4.9,10081
Ellington,Tolland,CT,1990,51425,3.3,11197
Enfield,Hartford,CT,1990,48757,2.9,45532
Farmington,Hartford,CT,1990,61754,2.6,20608
Glastonbury,Hartford,CT,1990,66046,2.4,27901
Granby,Hartford,CT,1990,63876,1,9369
Hartford,Hartford,CT,1990,24774,27.5,139739
Hebron,Tolland,CT,1990,57303,4.3,7079
Manchester,Hartford,CT,1990,46136,3.9,51618
Marlborough,Hartford,CT,1990,62352,1.3,5535
Newington,Hartford,CT,1990,50916,1.8,29208
Rocky Hill,Hartford,CT,1990,56396,2.9,16554
Simsbury,Hartford,CT,1990,73154,1.5,22023
Somers,Tolland,CT,1990,58445,1.7,9108
South Windsor,Hartford,CT,1990,60745,1.4,22090
Suffield,Hartford,CT,1990,56769,2.7,11427
Tolland,Tolland,CT,1990,58293,1.8,11001
Vernon,Tolland,CT,1990,48176,5.3,29841
West Hartford,Hartford,CT,1990,60518,3.6,60110
Wethersfield,Hartford,CT,1990,53111,2.7,25651
Windsor,Hartford,CT,1990,55400,2.4,27817
Windsor Locks,Hartford,CT,1990,48350,3,12358
Andover,Tolland,CT,1980,25026,2.8,2144
Avon,Hartford,CT,1980,33968,2.4,11201
Bloomfield,Hartford,CT,1980,26628,3.2,18608
Bolton,Tolland,CT,1980,27012,4.1,3951
Canton,Hartford,CT,1980,26679,2.8,7635
East Granby,Hartford,CT,1980,25884,2.3,4102
East Hartford,Hartford,CT,1980,21939,6.8,52563
East Windsor,Hartford,CT,1980,22935,7,8925
Ellington,Tolland,CT,1980,25552,1.7,9711
Enfield,Hartford,CT,1980,24165,4.2,42695
Farmington,Hartford,CT,1980,27143,3.1,16407
Glastonbury,Hartford,CT,1980,31304,3,24327
Granby,Hartford,CT,1980,28062,2.4,7956
Hartford,Hartford,CT,1980,14032,25.2,136392
Hebron,Tolland,CT,1980,25882,2.6,5453
Manchester,Hartford,CT,1980,22518,4.2,49761
Marlborough,Hartford,CT,1980,28384,3.7,4746
Newington,Hartford,CT,1980,25160,3.1,28841
Rocky Hill,Hartford,CT,1980,24735,3.4,14559
Simsbury,Hartford,CT,1980,34470,2,21161
Somers,Tolland,CT,1980,26480,6.3,8473
South Windsor,Hartford,CT,1980,29095,2.4,17198
Suffield,Hartford,CT,1980,25592,4,9294
Tolland,Tolland,CT,1980,26574,2.7,9694
Vernon,Tolland,CT,1980,22742,6.8,27974
West Hartford,Hartford,CT,1980,29937,3.8,61301
Wethersfield,Hartford,CT,1980,26358,3.1,26013
Windsor,Hartford,CT,1980,25993,3.8,25204
Windsor Locks,Hartford,CT,1980,24209,3.9,12190
Andover,Tolland,CT,1970,,,2099
Avon,Hartford,CT,1970,,,8352
Bloomfield,Hartford,CT,1970,13925,,18301
Bolton,Tolland,CT,1970,,,3691
Canton,Hartford,CT,1970,,,6868
East Granby,Hartford,CT,1970,,,3532
East Hartford,Hartford,CT,1970,11771,4.4,57583
East Windsor,Hartford,CT,1970,,,8513
Ellington,Tolland,CT,1970,,,7707
Enfield,Hartford,CT,1970,11752,,46189
Farmington,Hartford,CT,1970,13476,,14390
Glastonbury,Hartford,CT,1970,14507,,20651
Granby,Hartford,CT,1970,,,6150
Hartford,Hartford,CT,1970,9108,17,158017
Hebron,Tolland,CT,1970,,,3815
Manchester,Hartford,CT,1970,12356,,47994
Marlborough,Hartford,CT,1970,,,2991
Newington,Hartford,CT,1970,13589,,26037
Rocky Hill,Hartford,CT,1970,13332,,11103
Simsbury,Hartford,CT,1970,17186,,17475
Somers,Tolland,CT,1970,,,6893
South Windsor,Hartford,CT,1970,14155,,15553
Suffield,Hartford,CT,1970,,,8634
Tolland,Tolland,CT,1970,,,7857
Vernon,Tolland,CT,1970,11818,,27237
West Hartford,Hartford,CT,1970,15451,3.6,68031
Wethersfield,Hartford,CT,1970,14257,,26662
Windsor,Hartford,CT,1970,13663,,22502
Windsor Locks,Hartford,CT,1970,12576,,15080
Andover,Tolland,CT,1960,,,1771
Avon,Hartford,CT,1960,,,5273
Bloomfield,Hartford,CT,1960,7913,,13613
Bolton,Tolland,CT,1960,,,2933
Canton,Hartford,CT,1960,,,4783
East Granby,Hartford,CT,1960,,,2434
East Hartford,Hartford,CT,1960,7113,,43977
East Windsor,Hartford,CT,1960,,,7500
Ellington,Tolland,CT,1960,,,5580
Enfield,Hartford,CT,1960,6539,,31464
Farmington,Hartford,CT,1960,7779,,10813
Glastonbury,Hartford,CT,1960,8028,,14497
Granby,Hartford,CT,1960,,,4968
Hartford,Hartford,CT,1960,5990,,162178
Hebron,Tolland,CT,1960,,,1819
Manchester,Hartford,CT,1960,7451,,42102
Marlborough,Hartford,CT,1960,,,1961
Newington,Hartford,CT,1960,7989,,17664
Rocky Hill,Hartford,CT,1960,,,7404
Simsbury,Hartford,CT,1960,8132,,10138
Somers,Tolland,CT,1960,,,3702
South Windsor,Hartford,CT,1960,,,9460
Suffield,Hartford,CT,1960,,,6779
Tolland,Tolland,CT,1960,,,2950
Vernon,Tolland,CT,1960,6767,,16961
West Hartford,Hartford,CT,1960,9712,,62382
Wethersfield,Hartford,CT,1960,8775,,20561
Windsor,Hartford,CT,1960,7677,,19467
Windsor Locks,Hartford,CT,1960,6988,,11411
Andover,Tolland,CT,1950,,,1034
Avon,Hartford,CT,1950,,,3171
Bloomfield,Hartford,CT,1950,,,5746
Bolton,Tolland,CT,1950,,,1279
Canton,Hartford,CT,1950,,,3613
East Granby,Hartford,CT,1950,,,1327
East Hartford,Hartford,CT,1950,,,29933
East Windsor,Hartford,CT,1950,,,4859
Ellington,Tolland,CT,1950,,,3099
Enfield,Hartford,CT,1950,,,15464
Farmington,Hartford,CT,1950,,,7026
Glastonbury,Hartford,CT,1950,,,8818
Granby,Hartford,CT,1950,,,2693
Hartford,Hartford,CT,1950,3459,,177397
Hebron,Tolland,CT,1950,,,1320
Manchester,Hartford,CT,1950,,,34116
Marlborough,Hartford,CT,1950,,,901
Newington,Hartford,CT,1950,,,9110
Rocky Hill,Hartford,CT,1950,,,5108
Simsbury,Hartford,CT,1950,,,4822
Somers,Tolland,CT,1950,,,2631
South Windsor,Hartford,CT,1950,,,4066
Suffield,Hartford,CT,1950,,,4895
Tolland,Tolland,CT,1950,,,1659
Vernon,Tolland,CT,1950,,,10115
