CT County Subdivisions,Town,Towngroup
901301080,Andover,Rural
900302060,Avon,Suburban
900305910,Bloomfield,Suburban
901306260,Bolton,Suburban
900312270,Canton,Suburban
900322070,East Granby,Suburban
900322630,East Hartford,Urban periphery
900324800,East Windsor,Rural
901325360,Ellington,Suburban
900325990,Enfield,Urban periphery
900327600,Farmington,Suburban
900331240,Glastonbury,Suburban
900332640,Granby,Suburban
900337070,Hartford,Hartford
901337910,Hebron,Suburban
900344700,Manchester,Urban periphery
900345820,Marlborough,Suburban
900352140,Newington,Urban periphery
900365370,Rocky Hill,Urban periphery
900368940,Simsbury,Suburban
901369220,Somers,Rural
900371390,South Windsor,Suburban
900374540,Suffield,Suburban
901376290,Tolland,Suburban
901378250,Vernon,Urban periphery
900382590,West Hartford,Urban periphery
900384900,Wethersfield,Urban periphery
900387000,Windsor,Suburban
900387070,Windsor Locks,Urban periphery
