District ID,District Name,School ID,School Name,Domain,School Year,Number of Students Tested,level1,level2,level3
1,Andover School District,1,Andover Elementary School,Creative / Aesthetic,2010-11,42,4.8,42.9,52.4
2,Ansonia School District,8,Prendergast School,Creative / Aesthetic,2010-11,22,31.8,27.3,40.9
244,Area Cooperative Educational Services,3,Wintergreen Interdistrict Magnet School,Creative / Aesthetic,2010-11,62,1.6,40.3,58.1
3,Ashford School District,1,Ashford School,Creative / Aesthetic,2010-11,48,2.1,14.6,83.3
4,Avon School District,4,Pine Grove School,Creative / Aesthetic,2010-11,80,1.3,21.3,77.5
4,Avon School District,3,Roaring Brook School,Creative / Aesthetic,2010-11,108,4.6,27.8,67.6
5,Barkhamsted School District,1,Barkhamsted Elementary School,Creative / Aesthetic,2010-11,47,2.1,34,63.8
7,Berlin School District,4,Emma Hart Willard School,Creative / Aesthetic,2010-11,71,5.6,77.5,16.9
7,Berlin School District,5,Mary E. Griswold School,Creative / Aesthetic,2010-11,94,5.3,42.6,52.1
7,Berlin School District,1,Richard D. Hubbard School,Creative / Aesthetic,2010-11,43,9.3,69.8,20.9
8,Bethany School District,1,Bethany Community School,Creative / Aesthetic,2010-11,53,7.5,24.5,67.9
9,Bethel School District,4,Anna H. Rockwell School,Creative / Aesthetic,2010-11,82,12.2,45.1,42.7
9,Bethel School District,1,Frank A. Berry School,Creative / Aesthetic,2010-11,80,7.5,23.8,68.8
11,Bloomfield School District,3,J. P. Vincent School,Creative / Aesthetic,2010-11,92,9.8,31.5,58.7
11,Bloomfield School District,8,Wintonbury Early Childhood Magnet School,Creative / Aesthetic,2010-11,98,18.4,37.8,43.9
12,Bolton School District,1,Bolton Center School,Creative / Aesthetic,2010-11,57,5.3,38.6,56.1
13,Bozrah School District,1,Fields Memorial School,Creative / Aesthetic,2010-11,30,0,50,50
14,Branford School District,16,John B. Sliney School,Creative / Aesthetic,2010-11,62,8.1,45.2,46.8
14,Branford School District,15,Mary R. Tisko School,Creative / Aesthetic,2010-11,78,7.7,32.1,60.3
14,Branford School District,14,Mary T. Murphy School,Creative / Aesthetic,2010-11,75,10.7,48,41.3
15,Bridgeport School District,1,Barnum School,Creative / Aesthetic,2010-11,79,3.8,55.7,40.5
15,Bridgeport School District,2,Beardsley School,Creative / Aesthetic,2010-11,45,6.7,60,33.3
15,Bridgeport School District,3,Black Rock School,Creative / Aesthetic,2010-11,56,19.6,50,30.4
15,Bridgeport School District,40,Blackham School,Creative / Aesthetic,2010-11,114,9.6,63.2,27.2
15,Bridgeport School District,4,Bryant School,Creative / Aesthetic,2010-11,64,15.6,53.1,31.3
15,Bridgeport School District,14,Cesar Batalla School,Creative / Aesthetic,2010-11,112,30.4,52.7,17
15,Bridgeport School District,21,Classical Studies Academy,Creative / Aesthetic,2010-11,45,4.4,42.2,53.3
15,Bridgeport School District,5,Columbus School,Creative / Aesthetic,2010-11,91,4.4,34.1,61.5
15,Bridgeport School District,39,Cross School,Creative / Aesthetic,2010-11,51,2,78.4,19.6
15,Bridgeport School District,42,Curiale School,Creative / Aesthetic,2010-11,57,21.1,54.4,24.6
15,Bridgeport School District,41,Dunbar School,Creative / Aesthetic,2010-11,37,24.3,48.6,27
15,Bridgeport School District,7,Edison School,Creative / Aesthetic,2010-11,40,5,40,55
15,Bridgeport School District,32,Geraldine Johnson School,Creative / Aesthetic,2010-11,95,16.8,36.8,46.3
15,Bridgeport School District,11,Hall School,Creative / Aesthetic,2010-11,40,30,65,5
15,Bridgeport School District,12,Hallen School,Creative / Aesthetic,2010-11,35,5.7,22.9,71.4
15,Bridgeport School District,45,High Horizons Magnet School,Creative / Aesthetic,2010-11,45,2.2,48.9,48.9
15,Bridgeport School District,13,Hooker School,Creative / Aesthetic,2010-11,46,15.2,34.8,50
15,Bridgeport School District,22,Jettie S. Tisdale School,Creative / Aesthetic,2010-11,63,7.9,61.9,30.2
15,Bridgeport School District,19,Longfellow School,Creative / Aesthetic,2010-11,57,5.3,14,80.7
15,Bridgeport School District,10,Luis Munoz Marin School,Creative / Aesthetic,2010-11,73,1.4,38.4,60.3
15,Bridgeport School District,20,Madison School,Creative / Aesthetic,2010-11,82,20.7,75.6,3.7
15,Bridgeport School District,46,Multicultural Magnet School,Creative / Aesthetic,2010-11,45,4.4,31.1,64.4
15,Bridgeport School District,17,Park City Magnet School,Creative / Aesthetic,2010-11,58,29.3,44.8,25.9
15,Bridgeport School District,25,Read School,Creative / Aesthetic,2010-11,101,8.9,27.7,63.4
15,Bridgeport School District,26,Roosevelt School,Creative / Aesthetic,2010-11,54,3.7,63,33.3
15,Bridgeport School District,44,Skane Center,Creative / Aesthetic,2010-11,32,18.8,37.5,43.8
15,Bridgeport School District,30,Waltersville School,Creative / Aesthetic,2010-11,42,0,2.4,97.6
15,Bridgeport School District,36,Winthrop School,Creative / Aesthetic,2010-11,70,5.7,38.6,55.7
17,Bristol School District,7,Clara T. O Connell School,Creative / Aesthetic,2010-11,67,9,50.7,40.3
17,Bristol School District,3,Edgewood School,Creative / Aesthetic,2010-11,73,5.5,26,68.5
17,Bristol School District,14,Ellen P. Hubbell School,Creative / Aesthetic,2010-11,79,3.8,16.5,79.7
17,Bristol School District,5,Greene-Hills School,Creative / Aesthetic,2010-11,59,8.5,28.8,62.7
17,Bristol School District,19,Ivy Drive School,Creative / Aesthetic,2010-11,68,8.8,22.1,69.1
17,Bristol School District,6,John J. Jennings School,Creative / Aesthetic,2010-11,68,11.8,72.1,16.2
17,Bristol School District,17,Mountain View School,Creative / Aesthetic,2010-11,58,10.3,77.6,12.1
17,Bristol School District,11,South Side School,Creative / Aesthetic,2010-11,77,7.8,29.9,62.3
17,Bristol School District,12,Stafford School,Creative / Aesthetic,2010-11,80,16.3,23.8,60
18,Brookfield School District,3,Center Elementary School,Creative / Aesthetic,2010-11,161,8.1,19.3,72.7
19,Brooklyn School District,1,Brooklyn Elementary School,Creative / Aesthetic,2010-11,95,1.1,12.6,86.3
21,Canaan School District,1,Lee H. Kellogg School,Creative / Aesthetic,2010-11,11,9.1,54.5,36.4
