Town,Type,Year,Date,Value
Andover,LF,2005,1/1/2005,1894
Andover,LF,2005,2/1/2005,1898
Andover,LF,2005,3/1/2005,1907
Andover,LF,2005,4/1/2005,1914
Andover,LF,2005,5/1/2005,1926
Andover,LF,2005,6/1/2005,1947
Andover,LF,2005,7/1/2005,1968
Andover,LF,2005,8/1/2005,1957
Andover,LF,2005,9/1/2005,1942
Andover,LF,2005,10/1/2005,1953
Andover,LF,2005,11/1/2005,1962
Andover,LF,2005,12/1/2005,1949
Andover,LF,2006,1/1/2006,1934
Andover,LF,2006,2/1/2006,1926
Andover,LF,2006,3/1/2006,1929
Andover,LF,2006,4/1/2006,1919
Andover,LF,2006,5/1/2006,1931
Andover,LF,2006,6/1/2006,1947
Andover,LF,2006,7/1/2006,1985
Andover,LF,2006,8/1/2006,1976
Andover,LF,2006,9/1/2006,1942
Andover,LF,2006,10/1/2006,1972
Andover,LF,2006,11/1/2006,1973
Andover,LF,2006,12/1/2006,1950
Andover,LF,2007,1/1/2007,1922
Andover,LF,2007,2/1/2007,1933
Andover,LF,2007,3/1/2007,1940
Andover,LF,2007,4/1/2007,1936
Andover,LF,2007,5/1/2007,1955
Andover,LF,2007,6/1/2007,1984
Andover,LF,2007,7/1/2007,1985
Andover,LF,2007,8/1/2007,1962
Andover,LF,2007,9/1/2007,1949
Andover,LF,2007,10/1/2007,1962
Andover,LF,2007,11/1/2007,1975
Andover,LF,2007,12/1/2007,1961
Andover,LF,2008,1/1/2008,1954
Andover,LF,2008,2/1/2008,1965
Andover,LF,2008,3/1/2008,1964
Andover,LF,2008,4/1/2008,1965
Andover,LF,2008,5/1/2008,1971
Andover,LF,2008,6/1/2008,1994
Andover,LF,2008,7/1/2008,2015
Andover,LF,2008,8/1/2008,2000
Andover,LF,2008,9/1/2008,1970
Andover,LF,2008,10/1/2008,1985
Andover,LF,2008,11/1/2008,1979
Andover,LF,2008,12/1/2008,1966
Andover,LF,2009,1/1/2009,1968
Andover,LF,2009,2/1/2009,1987
Andover,LF,2009,3/1/2009,2003
Andover,LF,2009,4/1/2009,2007
Andover,LF,2009,5/1/2009,2012
Andover,LF,2009,6/1/2009,2032
Andover,LF,2009,7/1/2009,2057
Andover,LF,2009,8/1/2009,2031
Andover,LF,2009,9/1/2009,2006
Andover,LF,2009,10/1/2009,2021
Andover,LF,2009,11/1/2009,2011
Andover,LF,2009,12/1/2009,1993
Andover,LF,2010,1/1/2010,2033
Andover,LF,2010,2/1/2010,2038
Andover,LF,2010,3/1/2010,2057
Andover,LF,2010,4/1/2010,2070
Andover,LF,2010,5/1/2010,2059
Andover,LF,2010,6/1/2010,2083
Andover,LF,2010,7/1/2010,2089
Andover,LF,2010,8/1/2010,2074
Andover,LF,2010,9/1/2010,2037
Andover,LF,2010,10/1/2010,2059
Andover,LF,2010,11/1/2010,2065
Andover,LF,2010,12/1/2010,2051
Andover,LF,2011,1/1/2011,2059
Andover,LF,2011,2/1/2011,2055
Andover,LF,2011,3/1/2011,2058
Andover,LF,2011,4/1/2011,2045
Andover,LF,2011,5/1/2011,2045
Andover,LF,2011,6/1/2011,2056
Andover,LF,2011,7/1/2011,2056
Andover,LF,2011,8/1/2011,2077
Andover,LF,2011,9/1/2011,2071
Andover,LF,2011,10/1/2011,2073
Andover,LF,2011,11/1/2011,2060
Andover,LF,2011,12/1/2011,2058
Andover,LF,2012,1/1/2012,1989
Andover,LF,2012,2/1/2012,2000
Andover,LF,2012,3/1/2012,2002
Andover,LF,2012,4/1/2012,2003
Andover,LF,2012,5/1/2012,2019
Andover,LF,2012,6/1/2012,2030
Andover,LF,2012,7/1/2012,2047
Andover,LF,2012,8/1/2012,2047
Andover,LF,2012,9/1/2012,2020
Andover,LF,2012,10/1/2012,2042
Andover,LF,2012,11/1/2012,2037
Andover,LF,2012,12/1/2012,2029
Andover,LF,2013,1/1/2013,2034
Andover,LF,2013,2/1/2013,2003
Andover,LF,2013,3/1/2013,2002
Andover,EMP,2005,1/1/2005,1817
Andover,EMP,2005,2/1/2005,1817
Andover,EMP,2005,3/1/2005,1831
Andover,EMP,2005,4/1/2005,1844
Andover,EMP,2005,5/1/2005,1850
Andover,EMP,2005,6/1/2005,1863
Andover,EMP,2005,7/1/2005,1878
Andover,EMP,2005,8/1/2005,1875
Andover,EMP,2005,9/1/2005,1855
Andover,EMP,2005,10/1/2005,1877
Andover,EMP,2005,11/1/2005,1872
Andover,EMP,2005,12/1/2005,1863
Andover,EMP,2006,1/1/2006,1844
Andover,EMP,2006,2/1/2006,1846
Andover,EMP,2006,3/1/2006,1858
Andover,EMP,2006,4/1/2006,1867
Andover,EMP,2006,5/1/2006,1874
Andover,EMP,2006,6/1/2006,1889
Andover,EMP,2006,7/1/2006,1909
Andover,EMP,2006,8/1/2006,1905
Andover,EMP,2006,9/1/2006,1886
Andover,EMP,2006,10/1/2006,1913
Andover,EMP,2006,11/1/2006,1908
Andover,EMP,2006,12/1/2006,1897
Andover,EMP,2007,1/1/2007,1861
Andover,EMP,2007,2/1/2007,1863
Andover,EMP,2007,3/1/2007,1880
Andover,EMP,2007,4/1/2007,1879
Andover,EMP,2007,5/1/2007,1883
Andover,EMP,2007,6/1/2007,1900
Andover,EMP,2007,7/1/2007,1910
