Starting point,Destination,Number
"Hartford town (Hartford, CT)","Hartford town (Hartford, CT)",14661
"Hartford town (Hartford, CT)","West Hartford town (Hartford, CT)",2981
"Hartford town (Hartford, CT)","East Hartford town (Hartford, CT)",1949
"Hartford town (Hartford, CT)","Bloomfield town (Hartford, CT)",1854
"Hartford town (Hartford, CT)","Farmington town (Hartford, CT)",1680
"Hartford town (Hartford, CT)","Windsor town (Hartford, CT)",1433
"Hartford town (Hartford, CT)","Manchester town (Hartford, CT)",1404
"Hartford town (Hartford, CT)","New Britain town (Hartford, CT)",1104
"Hartford town (Hartford, CT)","Newington town (Hartford, CT)",1024
"Hartford town (Hartford, CT)","Rocky Hill town (Hartford, CT)",778
"Hartford town (Hartford, CT)","Wethersfield town (Hartford, CT)",752
"Hartford town (Hartford, CT)","Windsor Locks town (Hartford, CT)",715
"Hartford town (Hartford, CT)","Glastonbury town (Hartford, CT)",706
"Hartford town (Hartford, CT)","South Windsor town (Hartford, CT)",602
"Hartford town (Hartford, CT)","Middletown town (Middlesex, CT)",481
"Hartford town (Hartford, CT)","New Haven town (New Haven, CT)",416
"Hartford town (Hartford, CT)","East Windsor town (Hartford, CT)",405
"Hartford town (Hartford, CT)","Meriden town (New Haven, CT)",372
"Hartford town (Hartford, CT)","Waterbury town (New Haven, CT)",368
"Hartford town (Hartford, CT)","Berlin town (Hartford, CT)",364
"Hartford town (Hartford, CT)","Simsbury town (Hartford, CT)",346
"Hartford town (Hartford, CT)","Avon town (Hartford, CT)",309
"Hartford town (Hartford, CT)","Stamford town (Fairfield, CT)",296
"Hartford town (Hartford, CT)","Enfield town (Hartford, CT)",292
"Hartford town (Hartford, CT)","Bridgeport town (Fairfield, CT)",267
"Hartford town (Hartford, CT)","Cromwell town (Middlesex, CT)",253
"Hartford town (Hartford, CT)","Bristol town (Hartford, CT)",251
"Hartford town (Hartford, CT)","Danbury town (Fairfield, CT)",243
"Hartford town (Hartford, CT)","Westport town (Fairfield, CT)",238
"Hartford town (Hartford, CT)","Plainville town (Hartford, CT)",225
"Hartford town (Hartford, CT)","Wallingford town (New Haven, CT)",222
"Hartford town (Hartford, CT)","North Haven town (New Haven, CT)",214
"Hartford town (Hartford, CT)","Vernon town (Tolland, CT)",211
"Hartford town (Hartford, CT)","Norwalk town (Fairfield, CT)",193
"Hartford town (Hartford, CT)","Milford town (New Haven, CT)",189
"Hartford town (Hartford, CT)","East Granby town (Hartford, CT)",170
"Hartford town (Hartford, CT)","Shelton town (Fairfield, CT)",160
"Hartford town (Hartford, CT)","Manhattan borough (New York, NY)",158
"Hartford town (Hartford, CT)","Cheshire town (New Haven, CT)",150
"Hartford town (Hartford, CT)","Southington town (Hartford, CT)",142
"Hartford town (Hartford, CT)","Waterford town (New London, CT)",140
"Hartford town (Hartford, CT)","Hamden town (New Haven, CT)",135
"Hartford town (Hartford, CT)","Mansfield town (Tolland, CT)",135
"Hartford town (Hartford, CT)","Stratford town (Fairfield, CT)",130
"Hartford town (Hartford, CT)","Suffield town (Hartford, CT)",126
"Hartford town (Hartford, CT)","Trumbull town (Fairfield, CT)",115
"Hartford town (Hartford, CT)","Fairfield town (Fairfield, CT)",109
"Hartford town (Hartford, CT)","Orange town (New Haven, CT)",107
"Hartford town (Hartford, CT)","Greenwich town (Fairfield, CT)",98
"Hartford town (Hartford, CT)","Torrington town (Litchfield, CT)",97
"Hartford town (Hartford, CT)",All Other Locations,3000
"Avon town (Hartford, CT)","Hartford town (Hartford, CT)",1435
"Avon town (Hartford, CT)","Farmington town (Hartford, CT)",874
"Avon town (Hartford, CT)","Avon town (Hartford, CT)",738
"Avon town (Hartford, CT)","Simsbury town (Hartford, CT)",403
"Avon town (Hartford, CT)","West Hartford town (Hartford, CT)",402
"Avon town (Hartford, CT)","Bloomfield town (Hartford, CT)",288
"Avon town (Hartford, CT)","Bristol town (Hartford, CT)",287
"Avon town (Hartford, CT)","New Britain town (Hartford, CT)",282
"Avon town (Hartford, CT)","Windsor town (Hartford, CT)",243
"Avon town (Hartford, CT)","Canton town (Hartford, CT)",175
"Avon town (Hartford, CT)","East Hartford town (Hartford, CT)",150
"Avon town (Hartford, CT)","Plainville town (Hartford, CT)",114
"Avon town (Hartford, CT)","Newington town (Hartford, CT)",110
"Avon town (Hartford, CT)","Glastonbury town (Hartford, CT)",102
"Avon town (Hartford, CT)","Manchester town (Hartford, CT)",101
"Avon town (Hartford, CT)","Middletown town (Middlesex, CT)",91
"Avon town (Hartford, CT)","Berlin town (Hartford, CT)",88
"Avon town (Hartford, CT)","Rocky Hill town (Hartford, CT)",88
"Avon town (Hartford, CT)","Southington town (Hartford, CT)",74
"Avon town (Hartford, CT)","Torrington town (Litchfield, CT)",73
"Avon town (Hartford, CT)","Meriden town (New Haven, CT)",73
"Avon town (Hartford, CT)","New Haven town (New Haven, CT)",72
"Avon town (Hartford, CT)","Enfield town (Hartford, CT)",67
"Avon town (Hartford, CT)","Waterbury town (New Haven, CT)",65
"Avon town (Hartford, CT)","South Windsor town (Hartford, CT)",60
"Avon town (Hartford, CT)","Mansfield town (Tolland, CT)",55
"Avon town (Hartford, CT)","Danbury town (Fairfield, CT)",45
"Avon town (Hartford, CT)","Granby town (Hartford, CT)",39
