Grade,Resident.Town,Magnet School,Open Choice,Other,Private,Public,Grand Total
G1,Andover,0,,0,1,46,47
G1,Avon,10,,0,12,232,254
G1,Bloomfield,10,0,0,29,136,175
G1,Bolton,0,,0,0,63,63
G1,Canton,3,,0,5,125,133
G1,East Granby,0,,0,4,53,57
G1,East Hartford,57,0,0,46,535,638
G1,East Windsor,0,,,5,96,101
G1,Ellington,3,,0,8,202,213
G1,Enfield,6,0,0,47,412,465
G1,Farmington,5,,0,14,302,321
G1,Glastonbury,31,,0,3,457,491
G1,Granby,0,,0,7,148,155
G1,Hartford,199,121,0,44,1556,1920
G1,Hebron,1,,0,4,129,134
G1,Manchester,29,1,0,60,581,671
G1,Marlborough,0,,0,3,84,87
G1,New Britain,39,1,0,64,887,991
G1,Newington,2,,0,9,322,333
G1,Rocky Hill,2,,0,4,201,207
G1,Simsbury,8,,0,24,304,336
G1,Somers,0,,0,5,101,106
G1,South Windsor,8,,0,13,277,298
G1,Suffield,2,,0,9,165,176
G1,Tolland,0,,0,1,202,203
G1,Vernon,10,2,0,15,308,335
G1,West Hartford,21,,0,34,801,856
G1,Wethersfield,11,,0,32,289,332
G1,Windsor,14,0,,39,214,267
G1,Windsor Locks,0,0,0,3,118,121
G10,Andover,1,,2,1,43,47
G10,Avon,1,,0,61,265,327
G10,Bloomfield,78,5,18,31,135,267
G10,Bolton,3,,2,8,71,84
G10,Canton,2,,0,8,126,136
G10,East Granby,2,,1,9,66,78
G10,East Hartford,111,5,5,17,521,659
G10,East Windsor,9,,,10,101,120
G10,Ellington,3,,8,8,201,220
G10,Enfield,12,0,6,12,445,475
G10,Farmington,2,,0,35,335,372
G10,Glastonbury,13,,1,47,544,605
G10,Granby,0,,2,10,177,189
G10,Hartford,354,81,23,74,1161,1693
G10,Hebron,1,,6,8,171,186
G10,Manchester,54,0,8,62,523,647
G10,Marlborough,3,,1,2,92,98
G10,New Britain,86,0,3,27,754,870
G10,Newington,5,,0,19,365,389
G10,Rocky Hill,5,,0,29,184,218
G10,Simsbury,0,,2,54,392,448
G10,Somers,0,,0,7,144,151
G10,South Windsor,3,,1,37,395,436
G10,Suffield,1,,12,19,168,200
G10,Tolland,3,,1,11,250,265
G10,Vernon,15,0,10,11,231,267
G10,West Hartford,13,,0,108,832,953
G10,Wethersfield,6,,2,43,264,315
G10,Windsor,45,2,,48,354,449
G10,Windsor Locks,8,0,7,4,140,159
G11,Andover,4,,1,1,62,68
G11,Avon,2,,0,45,281,328
G11,Bloomfield,66,2,32,27,125,252
G11,Bolton,2,,0,14,55,71
G11,Canton,1,,2,20,126,149
G11,East Granby,0,,1,4,64,69
G11,East Hartford,85,1,6,24,551,667
G11,East Windsor,5,,,9,89,103
G11,Ellington,1,,0,16,203,220
G11,Enfield,8,0,4,11,561,584
G11,Farmington,1,,2,38,287,328
G11,Glastonbury,6,,2,60,495,563
G11,Granby,1,,3,10,174,188
G11,Hartford,346,49,7,94,918,1414
G11,Hebron,3,,1,8,162,174
G11,Manchester,43,1,6,55,503,608
G11,Marlborough,7,,1,11,90,109
G11,New Britain,52,0,5,43,888,988
G11,Newington,4,,1,19,352,376
G11,Rocky Hill,3,,0,23,203,229
G11,Simsbury,2,,2,62,402,468
G11,Somers,1,,1,6,140,148
G11,South Windsor,6,,2,49,387,444
G11,Suffield,0,,14,28,177,219
G11,Tolland,4,,2,10,237,253
G11,Vernon,11,0,7,18,237,273
G11,West Hartford,10,,1,116,737,864
G11,Wethersfield,6,,0,25,296,327
G11,Windsor,34,0,,60,301,395
G11,Windsor Locks,10,0,5,6,144,165
G12,Andover,1,,1,4,50,56
G12,Avon,0,,1,51,259,311
G12,Bloomfield,54,0,18,32,122,226
G12,Bolton,5,,0,3,62,70
G12,Canton,1,,1,23,120,145
G12,East Granby,2,,1,4,79,86
G12,East Hartford,65,0,2,51,457,575
G12,East Windsor,6,,,10,84,100
G12,Ellington,2,,1,6,183,192
G12,Enfield,5,0,6,10,449,470
G12,Farmington,0,,2,36,333,371
G12,Glastonbury,6,,0,71,551,628
G12,Granby,4,,1,13,175,193
G12,Hartford,317,67,9,88,1005,1486
